Sample,X,Y,Z
207,0.039,0.023,-0.969
208,0.039,0.020,-0.969
209,0.043,0.004,-0.969
210,0.035,0.012,-0.977
211,0.027,0.027,-0.965
212,0.012,0.039,-0.969
213,-0.004,0.039,-0.965
214,0.000,0.047,-0.980
215,0.000,0.047,-0.984
216,-0.012,0.035,-0.988
217,-0.016,0.027,-1.008
218,-0.008,0.012,-1.008
219,-0.004,0.016,-1.000
220,0.000,0.051,-0.984
221,0.004,0.027,-0.980
222,0.012,0.031,-0.969
223,0.004,0.035,-0.957
224,0.008,0.035,-0.961
225,0.020,0.039,-0.969
226,0.027,0.059,-0.949
227,0.016,0.066,-0.957
228,0.023,0.047,-0.965
229,0.012,0.035,-0.984
230,0.016,0.012,-0.992
231,0.004,0.012,-0.992
232,0.004,0.012,-0.992
233,0.000,0.023,-0.969
234,-0.004,0.027,-0.973
235,-0.012,0.023,-0.977
236,-0.004,0.039,-0.973
237,0.000,0.047,-0.977
238,0.012,0.039,-0.980
239,0.023,0.055,-0.977
240,0.023,0.051,-0.980
241,0.031,0.031,-0.992
242,0.031,0.016,-0.996
243,0.012,0.020,-0.992
244,0.012,0.016,-0.988
245,0.016,0.020,-0.965
246,0.012,0.027,-0.953
247,0.000,0.027,-0.953
248,-0.020,0.031,-0.957
249,-0.016,0.051,-0.949
250,-0.008,0.039,-0.965
251,0.012,0.043,-0.969
252,0.012,0.051,-0.980
253,0.016,0.027,-0.996
254,0.008,0.027,-1.000
255,0.020,0.023,-0.996
256,0.027,0.012,-0.996
257,0.043,0.016,-0.984
258,0.043,0.012,-0.980
259,0.027,0.016,-0.969
260,0.031,0.055,-0.957
261,0.012,0.035,-0.961
262,0.004,0.051,-0.953
263,0.000,0.043,-0.965
264,0.004,0.047,-0.961
265,-0.004,0.059,-0.969
266,-0.004,0.035,-0.984
267,-0.004,0.020,-1.000
268,0.004,0.016,-1.000
269,0.008,0.012,-0.988
270,0.012,0.008,-0.984
271,0.016,0.020,-0.977
272,0.008,0.027,-0.961
273,0.008,0.039,-0.965
274,0.004,0.051,-0.980
275,0.012,0.047,-0.973
276,0.027,0.051,-0.977
277,0.035,0.047,-0.977
278,0.023,0.047,-0.984
279,0.012,0.035,-0.996
280,0.000,-0.008,-0.992
281,0.000,0.020,-0.992
282,0.008,0.027,-0.973
283,0.004,0.016,-0.961
284,-0.008,0.023,-0.957
285,-0.012,0.043,-0.957
286,-0.012,0.043,-0.953
287,0.008,0.047,-0.961
288,0.023,0.043,-0.961
289,0.027,0.043,-0.969
290,0.031,0.055,-0.984
291,0.035,0.023,-0.996
292,0.023,0.016,-1.004
293,0.016,0.031,-0.996
294,0.016,0.016,-0.992
295,0.008,0.027,-0.977
296,-0.008,0.020,-0.980
297,-0.012,0.035,-0.969
298,-0.008,0.043,-0.961
299,-0.020,0.039,-0.969
300,0.004,0.125,-0.945
301,0.004,0.051,-0.977
302,0.008,0.059,-0.977
303,0.023,0.035,-0.992
304,0.039,0.016,-1.000
305,0.035,0.012,-0.992
306,0.039,0.020,-0.980
307,0.039,0.020,-0.977
308,0.039,0.016,-0.961
309,0.035,0.023,-0.953
310,0.016,0.035,-0.945
311,0.008,0.043,-0.949
312,-0.012,0.039,-0.957
313,-0.008,0.043,-0.961
314,-0.008,0.051,-0.980
315,-0.004,0.047,-0.984
316,-0.004,0.023,-1.000
317,0.000,0.000,-1.016
318,0.016,0.012,-1.004
319,0.012,0.023,-0.992
320,0.031,0.023,-0.977
321,0.020,0.035,-0.980
322,0.012,0.035,-0.977
323,0.023,0.031,-0.969
324,0.016,0.035,-0.969
325,0.020,0.047,-0.977
326,0.027,0.051,-0.969
327,0.020,0.047,-0.973
328,0.023,0.031,-0.977
329,0.012,0.027,-0.977
330,0.004,0.008,-0.980
331,0.008,0.012,-0.977
332,0.004,0.023,-0.957
333,0.004,0.020,-0.965
334,-0.008,0.023,-0.965
335,-0.004,0.039,-0.957
336,0.004,0.039,-0.965
337,0.012,0.039,-0.969
338,0.023,0.047,-0.969
339,0.023,0.051,-0.984
340,0.035,0.035,-0.996
341,0.023,0.023,-1.004
342,0.016,0.020,-0.996
343,0.016,0.016,-0.996
344,0.016,0.016,-0.992
345,0.000,0.023,-0.977
346,-0.004,0.031,-0.969
347,-0.016,0.043,-0.961
348,-0.023,0.035,-0.953
349,-0.012,0.039,-0.969
350,-0.004,0.023,-0.961
351,0.004,0.035,-0.965
352,0.012,0.043,-0.969
353,0.012,0.031,-0.988
354,0.023,0.020,-0.992
355,0.031,0.012,-0.973
356,0.035,0.023,-0.977
357,0.035,0.012,-0.969
358,0.020,0.035,-0.969
359,0.016,0.039,-0.961
360,0.004,0.039,-0.945
361,-0.008,0.039,-0.977
362,-0.016,0.047,-0.980
363,-0.012,0.043,-0.988
364,-0.012,0.039,-0.988
