Sample,X,Y,Z
0,0.000,0.035,-1.090
1,-0.004,0.035,-0.977
2,0.000,0.027,-0.977
3,0.008,0.031,-0.980
4,0.008,0.035,-0.977
5,0.016,0.027,-0.980
6,0.023,0.027,-0.988
7,0.027,0.023,-0.992
8,0.027,0.031,-0.984
9,0.023,0.031,-0.984
10,0.023,0.027,-0.980
11,0.023,0.035,-0.977
12,0.008,0.031,-0.973
13,0.012,0.035,-0.980
14,-0.004,0.039,-0.969
15,-0.008,0.031,-0.973
16,-0.004,0.043,-0.969
17,-0.008,0.031,-0.969
18,-0.004,0.027,-0.977
19,0.004,0.035,-0.977
20,-0.016,0.051,-0.992
21,0.008,0.023,-0.984
22,0.020,0.027,-0.988
23,0.027,0.031,-0.988
24,0.027,0.035,-0.992
25,0.027,0.023,-0.980
26,0.023,0.023,-0.980
27,0.031,0.035,-0.980
28,0.020,0.031,-0.977
29,0.008,0.039,-0.973
30,0.008,0.035,-0.977
31,0.000,0.035,-0.973
32,-0.012,0.039,-0.965
33,-0.012,0.031,-0.965
34,-0.004,0.031,-0.973
35,0.000,0.023,-0.977
36,0.000,0.027,-0.977
37,0.004,0.035,-0.969
38,0.016,0.027,-0.980
39,0.027,0.023,-0.992
40,0.016,0.000,-1.008
41,0.027,0.027,-0.988
42,0.031,0.031,-0.977
43,0.023,0.031,-0.980
44,0.023,0.035,-0.969
45,0.012,0.027,-0.977
46,0.012,0.027,-0.977
47,0.000,0.031,-0.980
48,-0.004,0.035,-0.969
49,-0.008,0.035,-0.969
50,-0.008,0.039,-0.977
51,0.000,0.031,-0.973
52,-0.004,0.031,-0.980
53,0.000,0.035,-0.977
54,0.008,0.027,-0.984
55,0.023,0.027,-0.988
56,0.027,0.031,-0.988
57,0.031,0.023,-0.988
58,0.027,0.031,-0.984
59,0.027,0.023,-0.980
60,0.020,0.027,-0.984
61,0.020,0.027,-0.977
62,0.012,0.027,-0.977
63,0.000,0.027,-0.973
64,0.000,0.031,-0.973
65,-0.008,0.039,-0.965
66,-0.012,0.035,-0.973
67,-0.004,0.031,-0.980
68,-0.004,0.031,-0.977
69,0.000,0.031,-0.980
70,0.008,0.035,-0.977
71,0.016,0.031,-0.984
72,0.023,0.023,-0.992
73,0.035,0.031,-0.984
74,0.027,0.027,-0.984
75,0.027,0.027,-0.992
76,0.023,0.031,-0.980
77,0.020,0.035,-0.980
78,0.016,0.031,-0.973
79,0.008,0.031,-0.969
80,0.012,0.027,-0.969
81,-0.012,0.031,-0.969
82,-0.008,0.035,-0.965
83,-0.012,0.035,-0.969
84,0.004,0.035,-0.973
85,0.000,0.039,-0.973
86,0.004,0.023,-0.980
87,0.012,0.027,-0.980
88,0.020,0.031,-0.988
89,0.027,0.027,-0.984
90,0.039,0.035,-0.984
91,0.039,0.027,-0.988
92,0.027,0.023,-0.988
93,0.023,0.023,-0.973
94,0.020,0.035,-0.969
95,0.004,0.035,-0.973
96,0.000,0.035,-0.969
97,-0.008,0.039,-0.969
98,-0.004,0.035,-0.969
99,-0.012,0.039,-0.961
100,0.000,0.020,-0.984
101,0.000,0.035,-0.969
102,0.008,0.027,-0.984
103,0.008,0.039,-0.977
104,0.016,0.027,-0.984
105,0.027,0.031,-0.980
106,0.035,0.027,-0.992
107,0.023,0.035,-0.984
108,0.031,0.039,-0.984
109,0.066,-0.023,-0.996
110,0.078,-0.047,-0.957
111,-0.078,-0.023,-0.906
112,-0.258,-0.043,-0.953
113,-0.359,-0.047,-0.961
114,-0.395,-0.148,-0.918
115,-0.332,-0.594,-0.930
116,-1.191,-0.152,-0.699
117,-1.992,0.750,-0.629
118,-1.895,0.598,-1.227
119,-0.688,0.289,-1.234
120,0.535,-0.023,-0.824
121,0.738,-0.039,-0.641
122,0.320,0.066,-1.086
123,-0.137,0.000,-1.754
124,-0.445,0.199,-1.535
125,-0.199,0.156,-1.199
126,0.113,-0.223,-1.309
127,0.367,-0.281,-1.059
128,0.195,-0.070,-0.977
129,-0.184,0.336,-0.809
130,-0.062,0.090,-0.855
131,0.078,-0.230,-0.816
132,-0.551,-0.027,-0.535
133,-0.816,0.164,-0.535
134,-0.453,0.246,-0.492
135,-0.211,-0.160,-0.879
136,-0.168,-0.230,-0.715
137,-0.277,-0.043,-0.508
138,-0.691,0.023,-0.902
139,-0.934,0.086,-1.336
140,-0.746,0.207,-1.203
141,-0.434,-0.031,-1.191
142,-0.316,0.074,-1.238
143,-0.051,0.086,-1.250
144,-0.125,-0.004,-1.484
145,-0.203,0.074,-1.316
146,-0.188,-0.012,-1.277
147,-0.352,0.082,-1.176
148,-0.508,0.176,-1.160
149,-0.152,0.207,-0.875
150,0.043,0.055,-0.730
151,-0.230,-0.031,-0.816
152,-0.406,0.148,-0.664
153,-0.539,0.203,-0.676
154,-0.371,-0.066,-0.930
155,0.117,-0.176,-0.629
156,-0.094,-0.086,-0.617
157,-0.586,0.000,-0.840
158,-0.570,0.121,-0.848
159,-0.453,0.012,-1.117
160,-0.148,-0.062,-0.934
161,0.051,-0.137,-0.930
162,-0.359,-0.047,-1.230
163,-0.504,0.152,-1.273
164,-0.152,0.004,-1.340
165,-0.164,0.035,-1.172
166,-0.270,0.008,-1.109
167,-0.375,-0.012,-1.242
168,-0.445,0.195,-1.133
169,-0.309,0.105,-1.074
170,-0.086,0.113,-0.738
171,-0.207,-0.027,-0.848
172,-0.449,0.035,-0.945
173,-0.492,0.164,-0.828
174,-0.469,0.086,-0.773
175,-0.203,-0.105,-0.781
176,-0.086,-0.098,-0.777
177,-0.324,0.031,-0.805
178,-0.500,0.020,-0.918
179,-0.418,-0.078,-1.051
180,-0.227,0.113,-0.961
181,-0.133,0.020,-0.938
182,-0.113,-0.086,-1.086
183,-0.316,0.027,-1.160
184,-0.383,0.184,-1.125
185,-0.223,0.047,-1.109
186,-0.062,-0.105,-1.113
187,-0.207,0.059,-1.059
188,-0.273,0.133,-1.066
189,-0.305,0.055,-1.059
190,-0.262,0.023,-1.027
191,-0.199,0.078,-0.887
192,-0.250,-0.023,-0.941
193,-0.473,0.062,-0.980
194,-0.500,0.125,-0.895
195,-0.367,0.000,-0.969
196,-0.242,0.059,-0.750
197,-0.199,0.070,-0.770
198,-0.312,0.184,-0.789
199,-0.145,0.031,-1.000
200,0.086,0.082,-0.836
201,0.223,0.086,-0.816
202,0.078,-0.008,-0.969
203,-0.164,0.043,-1.234
204,-0.004,0.023,-1.297
205,0.531,-0.094,-1.090
206,0.723,-0.141,-0.996
207,0.488,-0.059,-1.008
