Sample,X,Y,Z
0,0.055,0.027,-1.078
1,0.004,0.031,-0.973
2,0.004,0.031,-0.977
3,0.020,0.027,-0.984
4,0.012,0.023,-0.973
5,0.016,0.031,-0.980
6,0.016,0.031,-0.984
7,0.023,0.027,-0.984
8,0.012,0.023,-0.980
9,0.012,0.031,-0.984
10,0.008,0.027,-0.988
11,0.004,0.023,-0.984
12,0.000,0.035,-0.969
13,0.008,0.035,-0.961
14,0.004,0.027,-0.977
15,0.000,0.035,-0.973
16,0.004,0.027,-0.973
17,0.008,0.035,-0.969
18,0.008,0.035,-0.969
19,0.012,0.027,-0.980
20,0.020,0.043,-0.977
21,0.008,0.027,-0.980
22,0.020,0.023,-0.977
23,0.016,0.035,-0.988
24,0.016,0.027,-0.988
25,0.016,0.031,-0.977
26,0.016,0.027,-0.988
27,0.004,0.027,-0.984
28,0.008,0.027,-0.984
29,0.008,0.023,-0.977
30,0.004,0.027,-0.973
31,0.008,0.027,-0.980
32,0.004,0.023,-0.977
33,0.004,0.023,-0.969
34,0.008,0.035,-0.965
35,0.012,0.035,-0.973
36,0.012,0.031,-0.980
37,0.020,0.027,-0.984
38,0.023,0.031,-0.969
39,0.020,0.031,-0.977
40,0.027,0.031,-0.965
41,0.012,0.031,-0.977
42,0.012,0.023,-0.980
43,0.012,0.023,-0.988
44,0.008,0.023,-0.984
45,0.004,0.035,-0.980
46,0.004,0.035,-0.969
47,0.000,0.031,-0.977
48,0.000,0.027,-0.977
49,0.008,0.031,-0.973
50,0.004,0.031,-0.973
51,0.012,0.035,-0.973
52,0.012,0.031,-0.969
53,0.020,0.035,-0.977
54,0.016,0.035,-0.977
55,0.020,0.035,-0.977
56,0.020,0.023,-0.980
57,0.016,0.035,-0.977
58,0.016,0.039,-0.977
59,0.008,0.031,-0.984
60,0.004,0.055,-0.996
61,0.008,0.027,-0.977
62,0.004,0.031,-0.973
63,0.000,0.031,-0.973
64,0.004,0.031,-0.969
65,0.004,0.031,-0.973
66,0.016,0.031,-0.973
67,0.008,0.027,-0.973
68,0.020,0.031,-0.965
69,0.020,0.031,-0.973
70,0.023,0.031,-0.969
71,0.016,0.035,-0.988
72,0.016,0.027,-0.977
73,0.016,0.027,-0.984
74,0.016,0.023,-0.980
75,0.016,0.027,-0.984
76,0.008,0.027,-0.980
77,0.004,0.027,-0.977
78,0.000,0.035,-0.973
79,-0.004,0.035,-0.973
80,0.012,0.031,-0.977
81,0.004,0.027,-0.977
82,0.012,0.035,-0.973
83,0.008,0.031,-0.965
84,0.012,0.031,-0.969
85,0.016,0.035,-0.973
86,0.012,0.035,-0.977
87,0.023,0.023,-0.984
88,0.020,0.035,-0.977
89,0.016,0.035,-0.980
90,0.016,0.027,-0.980
91,0.016,0.027,-0.984
92,0.008,0.031,-0.977
93,0.008,0.031,-0.977
94,0.004,0.027,-0.977
95,0.000,0.039,-0.977
96,-0.004,0.039,-0.977
97,0.004,0.023,-0.977
98,0.004,0.035,-0.969
99,0.008,0.035,-0.973
100,0.023,0.051,-0.969
101,0.008,0.035,-0.969
102,0.020,0.023,-0.980
103,0.020,0.039,-0.980
104,0.020,0.039,-0.984
105,0.016,0.023,-0.988
106,0.012,0.027,-0.980
107,0.020,0.031,-0.977
108,0.012,0.023,-0.984
109,-0.004,0.039,-0.984
110,-0.016,0.055,-0.992
111,-0.020,0.141,-0.949
112,-0.020,0.234,-0.895
113,-0.004,0.195,-0.957
114,0.000,0.164,-1.047
115,-0.039,0.328,-1.117
116,0.113,0.973,-0.762
117,0.266,1.703,-0.156
118,0.570,1.516,-0.328
119,0.434,-0.059,-1.648
120,-0.102,-0.871,-1.969
121,-0.785,0.809,-1.051
122,-0.758,1.918,-0.168
123,-0.090,1.457,-0.770
124,1.000,0.371,-1.215
125,0.773,-0.992,-1.395
126,-0.559,-0.680,-1.914
127,-0.824,1.703,0.141
128,-0.426,1.555,-0.355
129,-0.102,0.352,-0.840
130,0.082,-1.914,-1.918
131,0.234,-1.062,-1.113
132,0.340,1.117,0.605
133,0.043,1.320,-0.238
134,-0.207,0.949,-0.293
135,-0.383,-1.387,-1.910
136,-0.109,-1.520,-1.633
137,0.164,0.961,0.633
138,0.316,1.227,-0.031
139,0.750,0.641,-0.859
140,0.273,-0.723,-1.828
141,-0.348,-0.645,-1.789
142,-0.426,0.820,-0.461
143,0.297,1.199,-0.625
144,1.051,1.008,-0.578
145,0.402,-0.195,-1.703
146,-0.418,-0.465,-1.820
147,-0.695,1.191,-0.375
148,-0.465,1.195,-0.957
149,0.305,0.852,-1.137
150,0.664,0.336,-0.957
151,-0.051,-0.242,-1.406
152,-0.637,0.883,-0.504
153,-0.621,1.141,-0.828
154,-0.199,0.805,-1.070
155,0.293,0.156,-1.000
156,0.266,-0.270,-0.953
157,0.086,0.246,-0.289
158,-0.320,0.363,-0.875
159,-0.402,0.508,-1.062
160,0.176,0.141,-0.863
161,0.277,-0.316,-1.129
162,0.309,0.180,-0.410
163,0.180,0.102,-0.984
164,-0.004,0.340,-1.164
165,0.086,0.316,-1.066
166,0.016,-0.094,-1.203
167,0.012,-0.234,-1.141
168,0.133,0.121,-1.055
169,0.211,0.535,-0.945
170,0.191,0.652,-0.836
171,-0.031,0.223,-1.062
172,-0.062,-0.039,-1.203
173,-0.141,0.309,-0.949
174,-0.152,0.691,-0.844
175,0.012,0.711,-0.750
176,0.258,0.332,-0.969
177,0.270,0.027,-1.066
178,-0.137,0.453,-0.934
179,-0.254,0.582,-1.004
180,-0.008,0.715,-0.820
181,0.215,0.414,-0.961
182,0.254,-0.008,-1.176
183,0.082,0.371,-0.871
184,-0.203,0.703,-0.859
185,-0.309,0.641,-0.965
186,-0.090,0.398,-0.969
187,-0.027,0.195,-1.004
188,-0.152,0.254,-0.988
189,-0.285,0.480,-0.902
190,-0.348,0.719,-0.863
191,-0.086,0.305,-1.059
192,0.258,-0.184,-1.301
193,0.195,0.191,-0.930
194,0.047,0.383,-0.895
195,0.164,0.254,-1.016
196,0.180,0.105,-1.121
197,0.227,-0.164,-1.215
198,0.359,-0.082,-0.945
