Sample,X,Y,Z
0,0.020,-0.082,-1.105
1,0.004,0.023,-0.984
2,0.012,0.020,-0.977
3,0.020,0.027,-0.973
4,0.027,0.027,-0.977
5,0.016,0.027,-0.969
6,0.016,0.023,-0.980
7,0.020,0.039,-0.984
8,0.016,0.035,-0.977
9,0.012,0.035,-0.980
10,0.008,0.023,-0.973
11,0.004,0.031,-0.977
12,-0.004,0.027,-0.980
13,0.004,0.027,-0.977
14,0.000,0.039,-0.980
15,0.004,0.027,-0.984
16,0.008,0.031,-0.980
17,0.004,0.027,-0.980
18,0.016,0.027,-0.984
19,0.012,0.027,-0.977
20,0.020,0.020,-0.988
21,0.016,0.039,-0.988
22,0.020,0.031,-0.980
23,0.016,0.035,-0.980
24,0.012,0.031,-0.984
25,0.012,0.027,-0.973
26,0.016,0.027,-0.973
27,0.012,0.027,-0.973
28,0.004,0.035,-0.973
29,0.000,0.023,-0.984
30,0.000,0.027,-0.980
31,0.000,0.031,-0.977
32,0.012,0.031,-0.984
33,0.004,0.031,-0.977
34,0.012,0.023,-0.988
35,0.008,0.027,-0.980
36,0.016,0.031,-0.973
37,0.020,0.027,-0.973
38,0.016,0.027,-0.984
39,0.020,0.023,-0.977
40,0.012,0.000,-0.996
41,0.012,0.031,-0.977
42,0.008,0.027,-0.977
43,0.012,0.031,-0.977
44,-0.004,0.027,-0.980
45,-0.004,0.035,-0.977
46,0.000,0.023,-0.984
47,0.000,0.035,-0.977
48,0.004,0.027,-0.977
49,0.004,0.016,-0.984
50,0.008,0.027,-0.984
51,0.012,0.023,-0.988
52,0.012,0.031,-0.977
53,0.023,0.027,-0.977
54,0.020,0.027,-0.980
55,0.016,0.031,-0.977
56,0.020,0.039,-0.977
57,0.020,0.035,-0.973
58,0.012,0.031,-0.980
59,0.008,0.031,-0.980
60,0.020,0.004,-0.980
61,0.000,0.039,-0.973
62,0.004,0.031,-0.977
63,0.000,0.023,-0.984
64,0.004,0.027,-0.977
65,0.008,0.027,-0.977
66,0.012,0.035,-0.980
67,0.012,0.027,-0.980
68,0.008,0.031,-0.980
69,0.023,0.035,-0.973
70,0.016,0.027,-0.977
71,0.020,0.027,-0.980
72,0.016,0.031,-0.973
73,0.012,0.035,-0.977
74,0.016,0.035,-0.977
75,0.016,0.027,-0.973
76,0.004,0.027,-0.973
77,0.008,0.031,-0.973
78,0.008,0.031,-0.977
79,0.008,0.031,-0.980
80,0.012,0.012,-0.984
81,0.008,0.027,-0.973
82,0.004,0.031,-0.980
83,0.012,0.031,-0.980
84,0.012,0.027,-0.977
85,0.020,0.027,-0.984
86,0.016,0.027,-0.977
87,0.031,0.035,-0.973
88,0.027,0.027,-0.973
89,0.016,0.031,-0.980
90,0.008,0.035,-0.980
91,0.020,0.027,-0.977
92,0.012,0.035,-0.973
93,0.004,0.039,-0.973
94,0.000,0.031,-0.977
95,0.008,0.023,-0.980
96,0.000,0.031,-0.984
97,0.008,0.020,-0.980
98,0.004,0.031,-0.977
99,0.004,0.023,-0.980
100,-0.004,0.008,-0.992
101,0.012,0.031,-0.980
102,0.020,0.027,-0.980
103,0.020,0.023,-0.980
104,0.020,0.035,-0.980
105,0.016,0.023,-0.977
106,0.023,0.039,-0.977
107,0.012,0.027,-0.973
108,0.012,0.035,-0.980
109,0.012,0.027,-0.973
110,0.008,0.039,-0.977
111,0.008,0.023,-0.973
112,0.004,0.027,-0.984
113,0.000,0.031,-0.984
114,0.004,0.023,-0.984
115,0.008,0.027,-0.980
116,0.012,0.027,-0.980
117,0.012,0.023,-0.988
118,0.020,0.031,-0.980
119,0.020,0.023,-0.973
120,0.000,-0.008,-0.984
121,0.020,0.035,-0.977
122,0.016,0.039,-0.980
123,0.016,0.023,-0.969
124,0.012,0.039,-0.980
125,0.012,0.031,-0.977
126,0.000,0.027,-0.973
127,0.000,0.035,-0.977
128,0.000,0.031,-0.980
129,0.004,0.027,-0.980
130,0.000,0.035,-0.973
131,0.004,0.035,-0.980
132,0.004,0.027,-0.988
133,0.020,0.023,-0.984
134,0.012,0.027,-0.980
135,0.016,0.031,-0.977
136,0.023,0.035,-0.973
137,0.016,0.035,-0.988
138,0.016,0.035,-0.980
139,0.012,0.031,-0.980
