Sample,X,Y,Z
0,0.020,0.062,-1.105
1,0.008,0.023,-0.977
2,0.008,0.027,-0.980
3,0.008,0.031,-0.980
4,0.008,0.023,-0.988
5,0.004,0.023,-0.980
6,-0.004,0.035,-0.977
7,0.000,0.031,-0.977
8,0.000,0.027,-0.973
9,0.008,0.027,-0.977
10,0.004,0.039,-0.977
11,0.004,0.035,-0.965
12,0.016,0.031,-0.969
13,0.027,0.027,-0.973
14,0.016,0.031,-0.980
15,0.016,0.023,-0.977
16,0.020,0.023,-0.980
17,0.016,0.031,-0.969
18,0.008,0.031,-0.980
19,0.008,0.023,-0.977
20,0.004,0.020,-0.984
21,0.004,0.027,-0.980
22,0.004,0.031,-0.980
23,0.000,0.027,-0.977
24,0.008,0.023,-0.980
25,0.004,0.027,-0.977
26,0.008,0.031,-0.969
27,0.000,0.031,-0.969
28,0.008,0.027,-0.973
29,0.020,0.020,-0.969
30,0.023,0.035,-0.977
31,0.020,0.031,-0.977
32,0.016,0.027,-0.988
33,0.016,0.031,-0.984
34,0.004,0.027,-0.980
35,0.004,0.027,-0.977
36,0.012,0.023,-0.980
37,0.004,0.027,-0.980
38,0.000,0.031,-0.973
39,0.000,0.020,-0.969
40,0.004,0.074,-0.973
41,0.000,0.027,-0.977
42,0.000,0.035,-0.969
43,0.004,0.035,-0.969
44,0.012,0.027,-0.965
45,0.016,0.031,-0.969
46,0.016,0.035,-0.977
47,0.020,0.031,-0.977
48,0.012,0.023,-0.984
49,0.020,0.023,-0.988
50,0.012,0.031,-0.988
51,0.016,0.027,-0.980
52,0.012,0.031,-0.984
53,0.004,0.027,-0.977
54,0.008,0.027,-0.977
55,0.004,0.031,-0.973
56,0.004,0.035,-0.980
57,-0.004,0.031,-0.973
58,0.012,0.031,-0.977
59,0.016,0.031,-0.973
60,-0.004,0.012,-0.980
61,0.008,0.031,-0.965
62,0.016,0.027,-0.977
63,0.023,0.023,-0.973
64,0.023,0.031,-0.977
65,0.008,0.031,-0.984
66,0.012,0.027,-0.977
67,0.008,0.027,-0.977
68,0.004,0.020,-0.977
69,0.008,0.027,-0.973
70,0.012,0.035,-0.977
71,0.000,0.027,-0.977
72,0.000,0.035,-0.977
73,0.004,0.043,-0.977
74,0.012,0.023,-0.973
75,0.016,0.031,-0.965
76,0.004,0.031,-0.969
77,0.012,0.035,-0.973
78,0.012,0.023,-0.977
79,0.020,0.027,-0.973
80,0.012,-0.004,-0.980
81,0.020,0.039,-0.980
82,0.023,0.031,-0.980
83,0.020,0.027,-0.980
84,0.004,0.020,-0.980
85,0.008,0.023,-0.977
86,0.004,0.027,-0.984
87,0.004,0.035,-0.977
88,-0.004,0.031,-0.973
89,0.008,0.031,-0.965
90,0.008,0.035,-0.969
91,0.004,0.035,-0.973
92,0.008,0.035,-0.969
93,0.008,0.035,-0.977
94,0.016,0.035,-0.965
95,0.020,0.023,-0.980
96,0.023,0.027,-0.977
97,0.016,0.035,-0.984
98,0.012,0.031,-0.980
99,0.012,0.031,-0.992
100,0.023,0.027,-0.984
101,0.008,0.027,-0.988
102,0.004,0.031,-0.977
103,0.004,0.027,-0.977
104,0.008,0.027,-0.980
105,0.008,0.031,-0.973
106,0.000,0.039,-0.973
107,0.000,0.023,-0.977
108,0.004,0.031,-0.969
109,0.004,0.043,-0.973
110,0.016,0.027,-0.969
111,0.020,0.023,-0.977
112,0.000,0.043,-0.977
113,-0.012,0.047,-0.984
114,0.008,0.027,-1.000
115,0.039,0.039,-0.984
116,0.023,0.070,-0.949
117,-0.008,0.078,-0.965
118,-0.016,0.043,-1.020
119,0.016,0.051,-1.000
120,0.008,0.098,-0.949
121,-0.004,0.184,-0.922
122,-0.008,0.211,-0.938
123,0.016,0.223,-0.965
124,0.027,0.242,-0.949
125,0.043,0.293,-0.926
126,0.059,0.340,-0.934
127,0.070,0.363,-0.953
128,0.102,0.355,-0.969
129,0.121,0.285,-1.004
130,0.066,0.250,-1.008
131,-0.047,0.234,-1.051
132,-0.133,0.281,-1.062
133,-0.129,0.379,-0.996
134,-0.035,0.441,-0.922
135,0.027,0.387,-0.953
136,0.047,0.391,-0.961
137,0.031,0.484,-0.887
138,0.039,0.500,-0.875
139,-0.031,0.441,-1.012
140,-0.141,0.445,-1.309
141,0.016,1.133,-0.898
142,0.074,1.992,0.250
143,0.469,1.773,0.445
144,0.750,-1.281,-1.820
145,-0.234,-1.926,-1.992
146,-1.504,-0.039,-1.516
147,-0.965,1.980,1.066
148,0.156,1.781,-0.105
149,1.816,-0.188,-1.066
150,0.945,-1.973,-1.875
151,-0.418,-1.699,-1.688
152,-1.617,1.465,0.219
153,-0.668,1.945,1.156
154,0.277,0.633,-0.977
155,0.023,-1.562,-1.383
156,0.344,-1.965,-1.570
157,-0.008,0.152,-0.098
158,0.289,1.949,0.934
159,0.625,1.684,-0.516
160,0.359,-0.340,-1.090
161,-0.680,-1.797,-1.930
162,-0.855,0.773,-0.086
163,0.543,1.184,-0.617
164,1.664,1.402,-0.582
165,0.695,0.996,-1.270
166,-0.676,-0.078,-1.863
167,-1.035,0.133,-1.215
168,-0.613,0.883,-1.426
169,0.523,1.297,-0.793
170,0.980,0.344,-1.438
171,0.117,0.094,-1.199
172,-0.656,0.910,-0.449
173,-0.699,0.664,-0.891
174,-0.145,0.418,-1.277
175,0.461,0.234,-0.637
176,0.492,-0.562,-1.105
177,-0.262,0.332,-0.289
178,-0.371,0.703,-0.277
179,-0.285,0.414,-0.938
180,0.273,0.066,-0.766
181,0.043,-0.781,-1.473
182,-0.242,-0.164,-0.809
183,-0.074,0.637,-0.379
184,0.188,0.734,-0.559
185,0.246,0.105,-1.109
186,0.020,-0.875,-1.902
187,-0.172,-0.195,-1.285
188,-0.066,0.730,-0.727
189,0.094,1.195,-0.695
190,0.477,0.477,-1.191
191,0.379,-0.500,-1.816
