Sample,X,Y,Z
0,-0.012,0.020,-1.121
1,0.016,0.020,-0.988
2,0.008,0.008,-0.992
3,0.008,0.020,-0.984
4,0.016,0.020,-0.988
5,0.012,0.020,-0.988
6,0.023,0.016,-0.984
7,0.035,0.020,-0.984
8,0.027,0.016,-0.984
9,0.031,0.020,-0.988
10,0.027,0.012,-0.988
11,0.039,0.020,-0.980
12,0.031,0.016,-0.980
13,0.012,0.020,-0.984
14,0.012,0.016,-0.992
15,0.008,0.016,-0.992
16,0.020,0.016,-0.988
17,0.016,0.016,-0.984
18,0.008,0.020,-0.992
19,0.000,0.008,-0.996
20,0.000,0.043,-1.004
21,0.016,0.008,-0.992
22,0.023,0.008,-0.988
23,0.031,0.027,-0.988
24,0.020,0.016,-0.992
25,0.023,0.023,-0.980
26,0.035,0.016,-0.977
27,0.039,0.012,-0.977
28,0.027,0.008,-0.984
29,0.027,0.016,-0.984
30,0.008,0.012,-0.988
31,0.004,0.020,-0.988
32,0.008,0.016,-0.984
33,0.012,0.020,-0.988
34,-0.004,0.020,-0.988
35,0.008,0.020,-0.992
36,0.008,0.012,-0.992
37,0.004,0.020,-0.992
38,0.020,0.020,-0.988
39,0.027,0.008,-0.988
40,0.043,-0.035,-0.996
41,0.027,0.027,-0.988
42,0.031,0.020,-0.988
43,0.031,0.020,-0.980
44,0.027,0.016,-0.988
45,0.023,0.016,-0.984
46,0.012,0.020,-0.980
47,0.008,0.012,-0.984
48,0.016,0.020,-0.980
49,0.008,0.020,-0.988
50,0.004,0.020,-0.988
51,0.008,0.020,-0.992
52,0.016,0.020,-0.996
53,0.012,0.016,-0.988
54,0.020,0.020,-0.988
55,0.020,0.023,-0.988
56,0.027,0.020,-0.992
57,0.027,0.023,-0.988
58,0.020,0.020,-0.980
59,0.039,0.020,-0.980
60,-0.004,0.004,-0.996
61,0.023,0.023,-0.984
62,0.020,0.023,-0.977
63,0.012,0.023,-0.988
64,0.012,0.016,-0.984
65,0.008,0.020,-0.980
66,0.012,0.004,-0.977
67,0.008,0.012,-0.980
68,0.008,0.023,-0.988
69,0.000,0.020,-0.992
70,0.012,0.020,-0.996
71,0.027,0.020,-0.984
72,0.035,0.020,-0.980
73,0.027,0.016,-0.984
74,0.023,0.020,-0.992
75,0.023,0.016,-0.988
76,0.039,0.020,-0.980
77,0.039,0.016,-0.980
78,0.023,0.012,-0.984
79,0.012,0.023,-0.988
80,-0.023,0.016,-1.004
81,0.008,0.020,-0.984
82,0.008,0.016,-0.984
83,0.000,0.016,-0.988
84,-0.004,0.020,-0.988
85,0.012,0.020,-0.984
86,0.016,0.016,-0.988
87,0.023,0.016,-0.988
88,0.023,0.016,-0.988
89,0.027,0.016,-0.984
90,0.027,0.027,-0.980
91,0.027,0.027,-0.980
92,0.023,0.023,-0.984
93,0.023,0.020,-0.980
94,0.023,0.023,-0.984
95,0.016,0.016,-0.992
96,0.004,0.023,-0.988
97,-0.008,0.027,-0.984
98,0.031,0.012,-0.996
99,0.094,0.000,-0.984
100,0.051,0.012,-0.980
101,0.004,0.039,-0.984
102,-0.047,0.078,-0.992
103,-0.031,0.082,-0.988
104,0.020,0.062,-0.992
105,0.035,0.086,-0.977
106,0.016,0.176,-0.953
107,0.020,0.230,-0.953
108,0.062,0.234,-0.953
109,0.086,0.215,-0.969
110,0.078,0.254,-0.984
111,0.078,0.324,-0.969
112,0.078,0.387,-0.934
113,0.090,0.379,-0.969
114,0.039,0.379,-1.125
115,0.074,0.605,-1.012
116,0.324,1.301,-0.289
117,0.332,0.699,-0.699
118,-0.289,-0.754,-1.707
119,-0.918,-1.301,-1.992
120,-0.746,0.367,-0.965
121,0.164,1.543,0.266
122,0.621,1.254,-0.059
123,0.227,-0.320,-1.230
124,-0.531,-1.598,-1.992
125,-0.988,-0.262,-1.402
126,-1.406,1.922,0.434
127,-0.215,1.969,0.770
128,1.324,0.812,-0.984
129,1.488,-1.504,-1.602
130,-0.125,-1.191,-1.258
131,0.352,0.480,-0.555
132,1.992,1.992,1.559
133,1.840,1.719,-0.043
134,0.234,-1.152,-1.477
135,-1.582,-1.930,-1.758
136,-1.945,-1.195,-1.879
137,-0.855,1.953,1.586
138,0.781,1.992,1.109
139,1.734,0.527,-0.723
140,1.102,-1.559,-1.320
141,-1.711,-1.992,-1.922
142,-1.469,0.484,0.102
143,-0.598,1.992,0.938
144,1.012,1.992,1.398
145,0.594,-0.109,-0.625
146,-0.633,-1.992,-1.828
147,-1.445,-1.242,-1.398
148,-1.172,1.457,0.246
149,0.277,1.953,0.562
150,1.863,0.957,-0.703
151,1.621,-1.211,-1.566
152,0.016,-1.668,-1.992
153,-0.832,1.285,-0.297
154,-0.438,1.957,-0.332
155,0.457,1.312,-0.707
156,1.473,0.137,-1.324
157,1.207,-0.992,-1.957
158,-0.273,0.348,-0.938
159,-0.988,1.684,-0.543
160,-0.695,0.355,-1.141
161,0.578,-0.020,-0.832
162,0.941,-0.398,-1.086
163,0.090,0.914,0.051
164,-0.824,1.191,-0.664
165,-1.402,0.820,-0.906
166,-0.488,-0.785,-1.375
167,0.523,-0.590,-1.199
168,0.703,0.547,0.055
169,0.152,0.918,-0.312
170,-0.703,0.508,-1.105
171,-0.797,-0.363,-1.793
172,-0.316,-0.797,-1.652
173,0.676,0.051,-0.836
174,0.508,1.117,-0.164
175,0.105,1.105,-0.523
176,-0.473,-0.141,-1.672
177,-0.211,-0.812,-1.988
178,0.750,0.109,-0.934
179,0.848,0.938,-0.105
180,0.281,1.160,-0.402
181,-0.336,0.543,-1.141
182,-0.469,-0.375,-1.836
183,-0.004,-0.059,-1.223
184,0.516,0.660,-0.398
185,0.473,1.035,-0.125
186,0.023,0.758,-0.668
187,-0.379,-0.156,-1.684
188,-0.211,-0.109,-1.457
189,0.195,0.457,-0.746
190,0.223,0.633,-0.539
191,-0.004,0.715,-0.633
192,-0.238,0.078,-1.332
193,-0.328,-0.246,-1.539
194,-0.156,-0.078,-1.195
195,0.074,0.348,-0.676
196,0.121,0.219,-0.770
197,-0.074,-0.156,-1.215
198,-0.086,-0.402,-1.379
199,-0.074,0.027,-0.867
200,0.219,0.238,-0.656
201,0.363,0.125,-0.680
202,0.062,-0.133,-0.965
203,-0.113,-0.238,-1.180
204,-0.027,0.004,-0.922
205,0.012,0.379,-0.656
206,0.039,0.363,-0.684
207,0.027,-0.062,-1.047
208,-0.145,-0.238,-1.336
209,-0.062,0.055,-1.121
210,0.195,0.367,-0.809
211,0.125,0.281,-0.914
212,0.133,-0.062,-1.219
213,0.059,-0.148,-1.336
214,0.027,-0.055,-1.242
215,0.215,0.180,-0.910
216,0.086,0.266,-0.801
217,-0.004,-0.004,-1.035
218,-0.059,-0.398,-1.316
219,-0.203,-0.250,-1.117
220,-0.082,0.109,-0.746
221,0.062,0.293,-0.559
222,-0.102,-0.043,-0.898
