Sample,X,Y,Z
0,0.105,-0.055,-1.184
1,0.020,0.020,-0.988
2,0.008,0.012,-0.980
3,0.012,0.016,-0.984
4,0.020,0.016,-0.988
5,0.016,0.016,-0.984
6,0.020,0.027,-0.984
7,0.020,0.020,-0.988
8,0.020,0.016,-0.992
9,0.027,0.016,-0.973
10,0.027,0.016,-0.977
11,0.012,0.020,-0.988
12,0.008,0.016,-0.980
13,0.023,0.012,-0.980
14,0.023,0.016,-0.984
15,0.023,0.012,-0.977
16,0.012,0.012,-0.988
17,0.008,0.023,-0.988
18,0.008,0.023,-0.988
19,0.012,0.020,-0.988
20,0.012,0.016,-0.980
21,-0.008,0.016,-0.992
22,0.020,0.008,-0.992
23,0.012,0.020,-0.992
24,0.023,0.012,-0.988
25,0.023,0.012,-0.988
26,0.020,0.012,-0.984
27,0.016,0.020,-0.988
28,0.016,0.016,-0.988
29,0.023,0.012,-0.988
30,0.027,0.023,-0.980
31,0.016,0.012,-0.977
32,0.016,0.020,-0.988
33,0.016,0.012,-0.988
34,0.020,0.016,-0.980
35,0.016,0.016,-0.984
36,0.004,0.020,-0.984
37,0.008,0.031,-0.984
38,0.008,0.020,-0.988
39,0.012,0.020,-0.992
40,-0.008,-0.020,-0.988
41,0.016,0.020,-0.984
42,0.016,0.016,-0.988
43,0.016,0.020,-0.988
44,0.020,0.020,-0.977
45,0.016,0.023,-0.984
46,0.023,0.008,-0.988
47,0.020,0.020,-0.980
48,0.023,0.016,-0.992
49,0.012,0.012,-0.988
50,0.008,0.008,-0.988
51,0.008,0.012,-0.984
52,0.012,0.020,-0.992
53,0.016,0.016,-0.980
54,0.012,0.020,-0.980
55,0.008,0.008,-0.988
56,0.016,0.023,-0.992
57,0.008,0.020,-0.980
58,0.023,0.016,-0.984
59,0.027,0.004,-0.988
60,0.020,-0.008,-0.973
61,0.027,0.012,-0.984
62,0.016,0.020,-0.984
63,0.016,0.016,-0.984
64,0.016,0.020,-0.984
65,0.016,0.020,-0.984
66,0.012,0.020,-0.984
67,0.008,0.016,-0.988
68,0.016,0.023,-0.988
69,0.008,0.016,-0.984
70,0.008,0.012,-0.988
71,0.012,0.008,-0.988
72,0.012,0.016,-0.980
73,0.023,0.020,-0.984
74,0.016,0.020,-0.984
75,0.020,0.023,-0.984
76,0.020,0.027,-0.984
77,0.023,0.020,-0.988
78,0.020,0.016,-0.988
79,0.020,0.020,-0.977
80,0.016,-0.023,-0.980
81,0.012,0.020,-0.992
82,0.012,0.023,-0.980
83,0.020,0.016,-0.988
84,0.012,0.012,-0.980
85,0.004,0.020,-0.988
86,0.016,0.016,-0.992
87,0.016,0.020,-0.988
88,0.012,0.023,-0.980
89,0.004,0.016,-0.988
90,0.020,0.016,-0.980
91,0.020,0.027,-0.980
92,0.020,0.023,-0.980
93,0.023,0.023,-0.977
94,0.020,0.020,-0.980
95,0.012,0.016,-0.988
96,0.004,0.031,-0.992
97,0.047,0.004,-1.000
98,0.137,-0.051,-0.988
99,0.059,-0.004,-0.934
100,-0.137,0.070,-0.953
101,-0.246,0.039,-1.020
102,-0.223,0.059,-0.996
103,-0.125,0.027,-0.941
104,-0.141,0.020,-0.922
105,-0.277,-0.004,-0.996
106,-0.371,0.016,-1.043
107,-0.270,-0.004,-1.039
108,-0.098,-0.012,-1.008
109,-0.016,0.023,-0.949
