Sample,X,Y,Z
207,-0.117,-0.195,-1.160
208,0.082,0.422,-0.590
209,0.066,0.570,-0.637
210,0.258,0.148,-1.035
211,0.008,-0.129,-1.375
212,-0.102,-0.016,-1.410
213,0.199,0.020,-1.312
214,0.277,0.281,-0.906
215,0.230,0.316,-1.008
216,0.195,-0.176,-1.422
217,0.066,-0.164,-1.363
218,0.039,0.109,-1.035
219,0.297,0.039,-0.809
220,0.074,0.062,-0.758
221,-0.188,0.004,-0.887
222,-0.203,-0.223,-1.012
223,-0.254,-0.172,-0.887
224,-0.164,0.016,-0.621
225,-0.051,-0.047,-0.684
226,-0.176,-0.168,-0.820
227,-0.289,-0.121,-0.918
228,-0.195,-0.027,-0.906
229,0.086,-0.051,-0.914
230,0.277,-0.020,-0.930
231,0.094,-0.238,-1.238
232,0.012,-0.105,-1.219
233,-0.012,0.102,-1.105
234,0.184,0.117,-1.105
235,0.164,0.145,-1.039
236,0.133,0.176,-1.055
237,0.062,-0.004,-1.230
238,0.055,0.004,-1.113
239,0.184,0.195,-0.895
240,0.238,0.398,-0.594
241,0.234,0.020,-0.980
242,0.059,0.117,-0.941
243,-0.090,0.078,-0.926
244,0.055,0.070,-0.887
245,0.168,0.152,-0.680
246,0.004,0.043,-0.895
247,-0.043,-0.129,-1.102
248,-0.184,-0.078,-1.031
249,-0.246,-0.090,-1.145
250,-0.094,-0.039,-0.957
251,-0.039,-0.062,-0.996
252,-0.164,-0.211,-1.242
253,-0.258,-0.129,-1.152
254,-0.070,-0.082,-1.125
255,0.023,-0.152,-1.094
256,0.230,-0.145,-0.914
257,0.027,-0.145,-0.996
258,-0.020,-0.008,-0.906
259,0.125,0.105,-0.789
260,0.227,-0.094,-0.910
261,0.320,-0.113,-0.859
262,0.211,0.176,-0.578
263,-0.012,0.180,-0.891
264,0.000,0.191,-0.871
265,-0.031,-0.035,-1.125
266,0.055,0.262,-0.887
267,0.109,0.168,-0.969
268,-0.016,-0.031,-1.262
269,-0.145,0.238,-1.129
270,-0.059,0.031,-1.219
271,0.102,0.176,-1.055
272,0.188,0.266,-0.973
273,0.109,-0.160,-1.285
274,-0.168,-0.023,-1.121
275,-0.207,0.141,-0.918
276,-0.105,0.020,-1.004
277,-0.113,0.020,-0.895
278,-0.148,-0.086,-0.895
279,-0.277,-0.145,-0.953
280,-0.199,-0.168,-0.902
281,-0.051,-0.047,-0.770
282,-0.016,-0.086,-0.809
283,0.238,-0.277,-0.879
284,0.371,-0.176,-0.859
285,0.059,0.098,-0.852
286,0.207,0.016,-0.902
287,0.078,-0.090,-1.066
288,0.012,-0.039,-1.082
289,0.238,-0.121,-1.125
290,0.047,0.129,-1.000
291,0.027,0.121,-1.109
292,0.113,0.059,-1.082
293,-0.074,0.062,-1.168
294,-0.094,0.031,-1.145
295,0.031,0.078,-1.031
296,-0.176,0.207,-1.000
297,0.070,0.152,-0.926
298,0.055,0.164,-0.898
299,0.055,0.164,-0.898
300,-0.027,0.086,-1.000
301,0.137,-0.074,-0.934
302,-0.102,0.133,-0.797
303,-0.141,0.133,-0.875
304,-0.039,0.059,-0.895
305,-0.215,-0.125,-1.141
306,-0.039,0.008,-0.930
307,0.082,0.043,-0.840
308,0.035,0.090,-0.957
309,0.219,-0.156,-1.070
310,0.195,-0.258,-1.148
311,0.074,-0.066,-1.066
312,0.281,-0.023,-0.871
313,0.086,0.148,-0.883
314,0.051,0.109,-0.926
315,0.141,-0.227,-1.145
316,-0.016,-0.031,-1.031
317,0.059,0.215,-0.773
318,0.062,0.105,-0.852
319,-0.238,0.215,-0.902
320,-0.129,-0.047,-1.051
321,-0.105,-0.012,-1.070
322,-0.137,0.098,-0.973
323,0.070,-0.020,-1.023
324,-0.090,0.070,-1.000
325,-0.082,0.105,-1.039
326,0.230,-0.145,-1.141
327,-0.008,0.055,-1.004
328,0.102,0.070,-0.949
329,0.031,-0.082,-1.086
330,-0.242,0.141,-0.992
331,0.020,-0.008,-1.035
332,0.047,-0.098,-1.027
333,-0.051,0.078,-0.852
334,0.121,-0.043,-0.926
335,0.020,-0.062,-0.973
336,-0.141,0.023,-0.902
337,0.160,0.113,-0.797
338,0.168,-0.043,-0.898
339,0.113,-0.188,-1.082
340,0.184,0.062,-0.832
341,-0.059,-0.008,-1.039
342,0.129,0.059,-0.875
343,0.039,0.191,-0.832
344,-0.086,0.008,-1.078
345,-0.051,-0.184,-1.191
346,-0.184,0.066,-1.047
347,-0.160,0.039,-1.102
348,0.059,0.004,-0.992
349,-0.066,0.160,-0.965
350,-0.004,-0.078,-1.156
351,0.133,-0.152,-1.109
352,-0.039,0.129,-0.895
353,0.145,0.082,-0.879
354,0.152,0.055,-0.852
355,0.039,0.070,-0.938
356,0.051,-0.098,-1.031
357,0.020,0.035,-0.910
358,-0.004,0.215,-0.789
359,0.035,0.078,-0.883
360,0.012,-0.125,-1.086
361,-0.125,-0.117,-1.152
362,-0.012,0.000,-1.055
363,0.016,-0.094,-1.133
364,0.141,0.039,-0.941
365,0.109,-0.039,-1.074
366,0.078,-0.105,-1.125
367,0.262,-0.059,-0.996
368,0.129,0.020,-0.980
369,0.090,0.172,-0.785
370,0.082,0.047,-0.930
371,-0.191,0.090,-0.930
372,-0.020,0.207,-0.703
373,-0.020,-0.047,-0.992
374,-0.137,0.055,-0.867
375,-0.078,0.129,-0.832
376,-0.141,0.027,-1.043
377,-0.062,0.047,-0.988
378,0.055,-0.031,-1.113
379,0.043,0.008,-1.105
380,0.152,-0.023,-1.043
381,0.152,-0.078,-1.188
382,0.070,0.051,-1.012
383,0.129,-0.008,-1.055
384,0.066,0.020,-1.047
385,-0.039,0.020,-1.027
386,-0.066,-0.117,-1.105
387,-0.078,-0.008,-0.949
388,-0.062,0.012,-0.848
389,0.078,-0.090,-0.926
390,0.000,0.031,-0.824
391,-0.047,-0.098,-0.918
392,0.125,-0.098,-0.934
393,0.125,-0.035,-0.832
394,0.074,0.027,-0.863
395,0.082,0.102,-0.863
396,0.027,-0.039,-1.051
397,0.055,-0.031,-1.074
