Sample,X,Y,Z
0,0.027,0.023,-1.129
1,0.012,0.020,-0.988
2,0.020,0.023,-0.980
3,0.023,0.023,-0.988
4,0.016,0.023,-0.980
5,0.027,0.027,-0.984
6,0.020,0.016,-0.992
7,0.023,0.027,-0.988
8,0.020,0.031,-0.973
9,0.023,0.023,-0.984
10,0.027,0.016,-0.988
11,0.012,0.023,-0.977
12,0.012,0.023,-0.984
13,0.004,0.016,-0.984
14,0.012,0.027,-0.977
15,0.016,0.020,-0.984
16,0.008,0.016,-0.988
17,0.012,0.031,-0.988
18,0.020,0.031,-0.980
19,0.023,0.016,-0.988
20,-0.004,0.023,-0.992
21,0.027,0.020,-0.973
22,0.016,0.027,-0.984
23,0.027,0.016,-0.988
24,0.020,0.016,-0.984
25,0.023,0.023,-0.988
26,0.020,0.016,-0.988
27,0.023,0.023,-0.992
28,0.008,0.020,-0.980
29,0.004,0.016,-0.988
30,0.016,0.023,-0.984
31,0.012,0.016,-0.980
32,0.012,0.027,-0.980
33,0.008,0.020,-0.988
34,0.008,0.016,-0.984
35,0.020,0.031,-0.973
36,0.023,0.023,-0.984
37,0.016,0.023,-0.977
38,0.016,0.027,-0.980
39,0.031,0.027,-0.984
40,0.051,-0.012,-0.996
41,0.016,0.020,-0.980
42,0.004,0.031,-0.988
43,0.016,0.023,-0.988
44,0.012,0.020,-0.977
45,0.020,0.023,-0.980
46,0.016,0.020,-0.988
47,0.004,0.020,-0.988
48,0.008,0.027,-0.984
49,0.020,0.020,-0.980
50,0.027,0.023,-0.988
51,0.020,0.027,-0.984
52,0.016,0.020,-0.988
53,0.020,0.023,-0.984
54,0.023,0.023,-0.977
55,0.020,0.027,-0.980
56,0.031,0.023,-0.977
57,0.016,0.012,-0.980
58,0.012,0.023,-0.984
59,0.023,0.020,-0.988
60,0.027,-0.023,-0.992
61,0.004,0.016,-0.992
62,0.004,0.027,-0.992
63,0.008,0.027,-0.992
64,0.012,0.020,-0.988
65,0.004,0.020,-0.992
66,0.012,0.023,-0.984
67,0.020,0.023,-0.980
68,0.020,0.012,-0.988
69,0.020,0.023,-0.980
70,0.027,0.031,-0.969
71,0.020,0.023,-0.980
72,0.016,0.016,-0.984
73,0.020,0.020,-0.980
74,0.031,0.012,-0.973
75,0.023,0.016,-0.980
76,0.012,0.020,-0.988
77,0.004,0.020,-0.988
78,0.016,0.023,-0.992
79,0.023,0.016,-0.984
80,-0.004,-0.020,-0.996
81,0.008,0.023,-0.984
82,0.012,0.023,-0.980
83,0.016,0.023,-0.977
84,0.023,0.023,-0.984
85,0.012,0.016,-0.984
86,0.008,0.020,-0.988
87,0.012,0.031,-0.984
88,0.027,0.016,-0.984
89,0.027,0.012,-0.984
90,0.016,0.020,-0.977
91,0.012,0.020,-0.992
92,0.004,0.035,-0.977
93,0.031,0.012,-0.992
94,0.117,-0.051,-0.996
95,0.027,-0.020,-0.934
96,-0.211,0.008,-0.961
97,-0.383,0.000,-1.020
98,-0.383,-0.016,-0.996
99,-0.188,-0.270,-0.965
100,-0.633,-0.398,-0.910
101,-1.832,0.191,-0.867
102,-1.992,0.184,-1.383
103,-1.203,0.555,-0.926
104,0.402,0.461,-0.625
105,0.816,0.309,-0.719
106,0.613,0.461,-0.508
107,-0.078,-0.195,-1.527
108,-0.250,0.328,-1.086
109,0.578,-0.250,-1.355
110,0.750,-0.305,-1.379
111,0.129,0.172,-0.742
112,-0.617,0.180,-1.062
113,-0.801,-0.047,-1.129
114,-0.672,-0.227,-1.070
115,-0.305,-0.297,-0.910
116,0.082,-1.090,-1.121
117,-1.117,-0.625,-0.770
118,-1.992,-0.145,-1.086
119,-1.988,-0.078,-1.316
120,-0.281,0.578,-0.602
121,1.926,0.980,0.746
122,1.699,-0.215,0.023
123,-0.613,-1.316,-0.848
124,-1.992,-0.453,-1.590
125,-0.828,1.207,-0.758
126,1.520,0.707,-1.039
127,1.992,0.707,0.203
128,0.848,-0.180,-1.152
129,-1.555,-0.934,-1.871
130,-1.941,0.332,-1.438
131,-0.668,1.523,-0.969
132,1.641,0.582,-0.711
133,1.652,-0.352,-0.742
134,-0.906,-0.500,-1.773
135,-1.824,-0.180,-1.461
136,-1.695,0.086,-0.988
137,-0.258,0.082,-0.879
138,0.965,0.785,0.348
139,-0.055,-0.082,-0.453
140,-1.668,-0.035,-1.062
141,-1.707,-0.496,-1.047
142,-1.012,-0.754,-1.395
143,0.520,0.547,0.176
144,1.004,0.316,-0.191
145,0.164,-0.094,-0.969
146,-0.637,-0.789,-1.488
147,-0.535,-0.773,-1.457
148,-0.344,0.441,-0.852
149,0.309,0.855,-0.477
150,0.605,0.285,-0.953
151,0.176,-0.664,-1.812
152,-0.348,-0.801,-1.910
153,-0.086,0.164,-0.938
154,0.152,1.008,-0.398
155,-0.102,0.254,-0.984
156,-0.531,-0.109,-1.262
157,-0.832,-0.156,-1.414
158,-0.766,0.070,-0.949
159,-0.457,0.266,-0.797
160,-0.473,0.227,-0.562
161,-0.359,0.227,-0.551
162,-0.266,-0.148,-1.074
163,-0.574,-0.238,-1.070
164,-0.699,-0.156,-1.098
165,-0.633,0.086,-0.793
166,-0.176,0.074,-0.684
167,0.195,0.102,-0.715
168,0.176,-0.180,-0.973
169,-0.277,-0.500,-1.391
170,-0.406,-0.227,-1.273
171,-0.285,0.379,-0.766
172,0.082,0.223,-0.801
173,0.141,-0.051,-1.012
174,-0.152,-0.016,-1.086
175,-0.488,-0.062,-1.297
176,-0.641,0.102,-1.113
177,-0.465,0.398,-0.801
178,-0.020,0.309,-0.820
179,0.133,-0.094,-1.137
180,-0.234,-0.109,-1.109
181,-0.652,0.043,-1.012
182,-0.605,0.125,-0.941
183,-0.406,0.121,-0.918
184,-0.340,0.070,-0.945
185,-0.109,-0.199,-1.094
186,-0.281,-0.113,-0.957
187,-0.699,0.086,-0.852
188,-0.555,0.008,-0.988
189,-0.344,0.141,-0.910
190,-0.223,0.035,-1.020
191,0.012,-0.254,-1.070
192,-0.082,-0.117,-0.844
193,-0.238,-0.082,-1.012
194,-0.227,0.027,-0.879
195,-0.055,0.039,-0.906
196,-0.180,-0.043,-1.098
197,-0.363,0.086,-0.910
198,-0.383,-0.070,-1.066
199,-0.551,0.246,-0.797
200,-0.496,0.176,-0.953
201,-0.461,0.047,-1.152
202,-0.230,0.090,-1.043
203,-0.180,-0.031,-1.105
204,-0.254,0.148,-0.891
205,-0.352,0.148,-1.059
206,-0.316,0.156,-1.035
207,0.160,-0.141,-1.148
208,0.082,-0.094,-1.004
209,-0.105,-0.117,-0.988
210,-0.551,0.098,-0.883
211,-0.770,0.133,-1.023
212,-0.391,0.160,-0.910
213,0.105,-0.047,-0.867
214,0.160,-0.117,-0.805
215,-0.172,-0.055,-0.898
216,-0.594,0.043,-1.082
217,-0.262,-0.082,-1.082
218,0.004,0.031,-0.754
219,-0.113,-0.094,-0.918
220,-0.621,0.086,-0.934
221,-0.914,0.180,-1.070
222,-0.828,0.102,-1.137
223,-0.191,0.027,-0.973
224,0.320,-0.145,-0.961
225,0.086,-0.074,-1.051
226,-0.605,0.023,-1.180
227,-0.516,-0.043,-1.242
228,-0.188,0.078,-1.000
229,0.156,0.047,-0.938
230,0.184,0.324,-0.676
231,0.125,0.109,-0.945
232,-0.070,-0.176,-1.250
233,0.238,-0.215,-1.117
234,0.859,-0.035,-0.770
235,1.031,0.129,-0.508
236,0.406,0.129,-0.836
237,-0.223,-0.082,-1.230
238,-0.238,-0.012,-1.094
239,-0.168,0.047,-0.957
240,-0.004,0.102,-0.754
241,0.113,0.105,-0.867
242,-0.129,0.020,-1.012
243,-0.105,-0.008,-1.125
244,0.184,-0.195,-1.180
245,0.035,0.152,-0.758
246,-0.492,0.074,-1.062
247,-0.703,0.133,-1.188
248,-0.641,0.211,-1.043
249,-0.234,-0.020,-1.094
250,0.145,-0.289,-1.098
251,0.145,-0.172,-1.074
252,0.246,0.062,-0.914
253,0.551,0.000,-0.785
254,0.461,0.082,-0.777
255,0.238,-0.098,-0.980
256,-0.258,-0.031,-1.039
257,-0.527,0.117,-1.062
258,-0.070,0.301,-0.762
259,0.707,-0.051,-0.797
260,0.719,-0.195,-0.984
261,0.492,-0.121,-1.008
262,0.180,-0.164,-1.172
263,-0.293,0.102,-1.047
264,-0.414,0.180,-0.969
265,-0.344,0.137,-1.051
266,-0.145,0.195,-1.012
267,-0.129,0.059,-1.051
268,-0.309,-0.012,-1.004
269,-0.086,-0.051,-1.043
270,0.316,-0.094,-1.008
271,0.559,-0.086,-0.926
272,0.180,-0.008,-0.867
273,-0.336,0.043,-1.035
274,-0.703,0.121,-1.031
275,-0.598,0.234,-0.934
276,0.109,0.105,-0.828
277,0.551,0.035,-0.723
278,0.438,-0.137,-0.996
279,0.176,-0.168,-1.094
280,0.234,-0.254,-1.082
281,0.273,-0.031,-0.938
282,-0.012,0.082,-0.883
283,-0.414,0.168,-1.039
284,-0.539,0.184,-1.180
285,-0.289,-0.039,-1.227
286,0.086,-0.094,-1.008
287,0.453,-0.012,-0.809
288,0.426,-0.047,-0.871
289,0.043,0.094,-1.000
290,-0.223,0.113,-1.043
291,-0.059,-0.074,-1.098
292,-0.133,-0.035,-0.980
293,-0.391,0.277,-0.801
294,-0.109,0.137,-0.906
295,0.234,0.105,-0.844
296,0.500,-0.152,-1.074
297,0.598,-0.363,-1.105
298,0.422,-0.172,-0.973
299,-0.102,0.199,-0.766
300,-0.355,0.277,-0.836
301,-0.426,-0.016,-1.191
302,-0.359,0.016,-1.219
303,-0.039,0.043,-1.055
304,0.148,0.066,-0.906
305,0.293,0.016,-0.906
306,0.316,-0.184,-1.023
307,0.141,-0.148,-1.039
308,-0.250,0.113,-1.055
309,-0.273,0.203,-0.926
310,-0.316,0.227,-0.895
311,-0.227,0.156,-0.879
312,-0.047,-0.164,-1.074
313,0.027,-0.074,-1.035
314,0.191,0.027,-0.977
315,0.574,-0.062,-0.891
316,0.570,-0.016,-0.824
317,0.195,0.000,-0.941
318,-0.082,-0.031,-1.074
319,-0.320,0.039,-1.121
320,-0.199,0.184,-0.949
321,0.172,0.082,-0.938
322,0.277,-0.027,-1.000
323,0.289,-0.004,-1.004
324,0.152,-0.125,-1.098
325,0.172,-0.102,-1.031
326,0.180,-0.102,-1.031
327,-0.137,0.059,-1.012
328,-0.340,0.199,-0.957
329,-0.395,0.207,-0.914
330,-0.316,-0.039,-1.059
331,-0.215,-0.141,-1.062
332,0.090,-0.051,-0.926
333,0.383,0.223,-0.512
334,0.383,0.129,-0.766
335,0.191,-0.230,-1.121
336,-0.051,-0.207,-1.172
337,-0.238,-0.020,-1.062
338,-0.137,0.348,-0.723
339,0.070,0.352,-0.711
340,0.082,0.016,-1.047
341,0.004,-0.402,-1.406
342,-0.078,-0.242,-1.332
343,0.215,0.129,-0.891
344,0.496,0.316,-0.570
345,0.148,0.086,-0.910
346,-0.438,-0.160,-1.410
347,-0.648,-0.160,-1.430
348,-0.312,0.156,-1.043
349,0.211,0.270,-0.680
350,0.449,0.184,-0.605
351,0.203,-0.094,-1.023
352,0.000,-0.195,-1.301
353,0.156,-0.152,-1.066
354,0.227,0.176,-0.621
355,0.086,0.188,-0.625
356,-0.266,0.113,-0.914
357,-0.383,0.035,-1.098
358,-0.301,-0.051,-1.145
359,0.156,-0.066,-0.938
360,0.465,-0.090,-0.891
361,0.336,-0.043,-0.906
362,0.000,0.012,-1.031
363,-0.215,-0.109,-1.301
364,-0.172,0.102,-1.039
365,-0.051,0.156,-0.930
366,-0.035,0.113,-0.961
367,-0.121,0.066,-0.992
368,-0.090,-0.070,-1.172
369,0.152,0.004,-1.074
370,0.508,0.125,-0.812
371,0.414,0.020,-0.906
372,-0.203,0.012,-0.992
373,-0.559,0.020,-1.121
374,-0.410,-0.016,-1.086
375,-0.125,0.230,-0.754
376,0.137,0.039,-0.848
377,0.293,0.000,-0.844
378,0.172,-0.094,-1.027
379,0.070,-0.113,-1.039
380,0.117,0.074,-0.812
381,0.070,0.074,-0.922
382,0.113,-0.023,-0.996
383,0.047,-0.070,-1.133
384,-0.051,0.055,-0.980
385,0.133,0.066,-0.902
386,0.105,-0.059,-1.043
387,-0.031,0.020,-1.113
388,0.066,-0.059,-1.152
389,0.078,-0.012,-1.074
390,0.039,0.250,-0.840
391,0.094,0.102,-0.852
392,0.008,-0.191,-1.121
393,-0.305,-0.105,-1.129
394,-0.352,0.004,-1.035
395,-0.059,0.281,-0.801
396,0.062,0.336,-0.703
397,0.086,-0.102,-1.070
398,-0.098,-0.340,-1.246
399,0.039,-0.141,-1.047
400,0.219,0.203,-0.688
401,0.305,0.234,-0.660
402,-0.059,0.066,-0.938
403,-0.398,-0.160,-1.285
404,-0.379,0.000,-1.160
405,0.148,0.117,-0.871
406,0.629,0.273,-0.586
407,0.656,-0.039,-0.855
408,0.258,-0.250,-1.230
409,-0.273,-0.180,-1.340
410,-0.219,0.020,-1.148
411,0.023,0.305,-0.734
412,0.215,0.270,-0.770
413,0.043,0.016,-1.094
414,-0.094,-0.227,-1.426
415,0.098,-0.191,-1.211
416,0.262,0.078,-0.758
417,0.297,0.238,-0.641
418,-0.141,0.203,-0.758
419,-0.512,-0.172,-1.348
420,-0.809,-0.152,-1.305
421,-0.363,0.035,-0.992
422,0.184,0.293,-0.496
423,0.414,0.227,-0.543
424,0.094,-0.090,-0.992
425,-0.199,-0.340,-1.375
426,-0.047,-0.109,-1.074
427,0.004,0.133,-0.785
428,0.094,0.164,-0.773
429,-0.137,0.148,-0.895
430,-0.145,-0.117,-1.277
431,-0.137,-0.078,-1.262
432,0.406,-0.047,-1.039
433,0.812,0.035,-0.770
434,0.664,-0.027,-0.801
435,0.047,0.062,-1.020
436,-0.348,-0.039,-1.258
437,-0.488,0.023,-1.254
438,-0.289,-0.016,-1.117
439,-0.016,0.289,-0.707
440,0.070,0.281,-0.691
441,0.094,-0.004,-1.012
442,0.031,-0.184,-1.156
443,0.223,-0.281,-1.141
444,0.082,0.223,-0.578
445,-0.266,0.234,-0.754
446,-0.492,0.211,-0.934
447,-0.309,-0.078,-1.164
448,-0.070,-0.281,-1.258
449,0.242,-0.016,-0.879
450,0.594,0.000,-0.797
451,0.531,0.062,-0.766
452,0.262,-0.133,-1.090
453,-0.008,-0.281,-1.285
454,-0.141,-0.066,-1.148
455,-0.316,0.223,-0.879
456,-0.363,0.289,-0.855
457,-0.137,0.078,-0.957
458,-0.012,-0.039,-1.098
459,0.258,-0.164,-1.188
