Sample,X,Y,Z
0,-0.012,-0.008,-1.090
1,-0.027,0.020,-0.980
2,0.012,0.020,-0.980
3,0.000,0.020,-0.992
4,0.016,0.016,-0.992
5,0.012,0.020,-0.980
6,0.008,0.020,-0.988
7,0.008,0.016,-0.988
8,0.012,0.020,-0.992
9,0.016,0.027,-0.984
10,0.027,0.023,-0.984
11,0.027,0.016,-0.996
12,0.027,0.020,-0.984
13,0.031,0.008,-0.992
14,0.027,0.012,-0.984
15,0.027,0.023,-0.980
16,0.023,0.020,-0.984
17,0.020,0.020,-0.988
18,0.012,0.020,-0.984
19,0.016,0.016,-0.980
20,0.035,0.012,-0.984
21,-0.008,0.023,-0.992
22,0.008,0.012,-0.988
23,0.008,0.020,-0.984
24,0.020,0.016,-0.988
25,0.020,0.016,-0.996
26,0.020,0.027,-0.984
27,0.023,0.023,-0.984
28,0.023,0.020,-0.992
29,0.035,0.012,-0.984
30,0.039,0.020,-0.980
31,0.023,0.012,-0.992
32,0.020,0.023,-0.988
33,0.012,0.020,-0.980
34,0.012,0.020,-0.984
35,0.016,0.016,-0.988
36,0.016,0.012,-0.980
37,0.008,0.016,-0.984
38,0.012,0.023,-0.988
39,0.008,0.020,-0.988
40,0.000,0.066,-0.980
41,0.027,0.023,-0.996
42,0.023,0.016,-0.992
43,0.020,0.020,-0.992
44,0.027,0.016,-0.992
45,0.031,0.020,-0.996
46,0.023,0.020,-0.988
47,0.035,0.023,-0.980
48,0.023,0.012,-0.988
49,0.020,0.012,-0.988
50,0.012,0.023,-0.984
51,0.016,0.020,-0.992
52,0.016,0.020,-0.980
53,0.016,0.016,-0.980
54,0.008,0.020,-0.984
55,0.008,0.020,-0.992
56,0.012,0.027,-0.988
57,0.020,0.016,-0.992
58,0.020,0.027,-0.988
59,0.023,0.020,-0.988
60,0.031,0.035,-0.977
61,0.027,0.012,-0.984
62,0.027,0.027,-0.988
63,0.023,0.020,-0.984
64,0.023,0.020,-0.988
65,0.027,0.016,-0.984
66,0.016,0.020,-0.984
67,0.016,0.016,-0.988
68,0.004,0.020,-0.988
69,0.008,0.008,-0.992
70,0.012,0.016,-0.988
71,0.020,0.020,-0.980
72,0.008,0.016,-0.992
73,0.008,0.016,-0.988
74,0.012,0.027,-0.988
75,0.027,0.020,-0.992
76,0.031,0.020,-0.992
77,0.027,0.012,-0.988
78,0.027,0.020,-0.988
79,0.027,0.023,-0.984
80,0.055,0.059,-0.973
81,0.023,0.023,-0.984
82,0.031,0.008,-0.988
83,0.016,0.020,-0.980
84,0.012,0.016,-0.988
85,0.016,0.016,-0.988
86,0.016,0.020,-0.992
87,0.008,0.016,-0.980
88,0.012,0.023,-0.988
89,0.004,0.016,-0.988
90,0.016,0.016,-0.992
91,0.016,0.016,-0.988
92,0.027,0.016,-0.988
93,0.016,0.012,-0.992
94,0.027,0.020,-0.980
95,0.027,0.023,-0.984
96,0.016,0.027,-0.988
97,0.023,0.027,-0.992
98,0.078,0.000,-0.992
99,0.133,-0.027,-0.973
100,0.055,0.070,-0.906
101,-0.137,0.051,-0.961
102,-0.191,0.043,-1.023
103,-0.117,0.027,-0.988
104,-0.031,-0.012,-0.945
105,-0.109,-0.020,-0.945
106,-0.262,-0.008,-1.004
107,-0.336,0.004,-1.004
108,-0.309,-0.020,-1.016
109,-0.273,-0.016,-1.023
110,-0.215,0.059,-0.988
111,-0.156,0.102,-0.910
112,-0.070,-0.004,-0.957
113,0.219,-0.430,-1.094
114,-0.371,-0.402,-0.973
115,-1.828,0.301,-0.832
116,-1.801,-0.055,-1.586
117,-0.336,0.230,-1.223
118,1.555,0.516,-0.430
119,1.809,0.668,0.246
120,0.203,-0.328,-1.176
121,-0.266,-1.004,-1.859
122,0.219,0.238,-0.836
123,0.566,0.383,-0.484
124,0.250,-0.332,-1.156
125,-1.383,0.945,-0.324
126,-1.992,1.535,-0.645
127,-1.938,0.605,-1.500
128,-0.180,-0.562,-1.797
129,1.941,-1.004,-0.539
130,0.535,-1.391,-1.184
131,-1.918,0.211,-1.109
132,-1.992,0.496,-1.426
133,-1.086,-0.465,-1.926
134,1.828,0.219,-0.168
135,1.902,-0.105,0.348
136,-0.176,-0.176,0.254
137,-1.789,-0.625,-1.145
138,-0.887,-0.105,-1.477
139,1.934,0.395,-0.340
140,1.992,0.082,0.703
141,0.730,0.133,-0.098
142,-1.863,-0.234,-1.926
143,-1.680,0.191,-1.562
144,-0.516,0.809,-0.914
145,1.766,0.449,-0.426
146,1.945,0.090,-0.148
147,-0.578,-0.129,-1.508
148,-1.992,0.039,-1.770
149,-1.988,0.238,-1.410
150,-0.262,-0.484,-1.547
151,1.043,-0.035,-0.504
152,0.055,0.371,-0.070
153,-1.637,0.348,-1.070
154,-1.738,0.121,-1.297
155,-1.055,-0.617,-1.531
156,-0.242,0.027,-0.676
157,0.348,0.316,-0.039
158,0.500,0.238,-0.051
159,-0.266,0.348,-0.594
160,-0.020,-0.762,-1.387
161,0.531,-0.871,-1.426
162,0.582,0.012,-0.809
163,0.152,0.543,-0.309
164,0.207,0.422,-0.629
165,0.016,-0.176,-1.438
166,-0.223,-0.645,-1.750
167,-0.055,-0.121,-1.426
168,-0.223,0.570,-0.777
169,-0.004,0.109,-1.008
170,-0.332,-0.027,-1.207
171,-0.848,0.004,-1.305
172,-0.832,-0.012,-1.426
173,-0.664,-0.098,-1.312
174,-0.770,0.215,-0.746
175,-0.492,0.402,-0.492
176,-0.172,0.141,-0.797
177,-0.445,0.020,-0.988
178,-0.574,-0.078,-0.988
179,-0.395,-0.172,-0.965
180,-0.195,-0.027,-0.664
181,-0.160,0.180,-0.531
182,-0.059,0.066,-0.754
183,0.004,-0.316,-1.176
184,-0.141,-0.375,-1.227
185,-0.250,0.094,-0.848
186,-0.121,0.254,-0.824
187,0.074,-0.004,-1.086
188,-0.148,0.109,-1.043
189,-0.219,-0.082,-1.285
190,-0.098,-0.164,-1.277
191,-0.191,0.070,-1.051
192,-0.363,0.383,-0.918
193,-0.176,0.234,-1.062
194,-0.102,0.055,-1.176
195,-0.141,-0.109,-1.172
196,-0.125,0.000,-0.863
197,0.051,0.137,-0.785
198,0.145,0.145,-0.832
199,0.082,-0.082,-0.938
200,-0.137,-0.152,-1.000
201,-0.340,-0.070,-0.957
202,-0.398,0.055,-0.867
203,-0.270,0.098,-0.824
204,-0.102,0.242,-0.621
