Sample,X,Y,Z
0,0.039,0.016,-0.852
1,0.031,0.020,-0.980
2,0.020,0.027,-0.988
3,0.031,0.020,-0.980
4,0.027,0.016,-0.980
5,0.035,0.020,-0.977
6,0.020,0.020,-0.973
7,0.016,0.027,-0.984
8,0.008,0.031,-0.984
9,0.016,0.020,-0.980
10,0.012,0.020,-0.984
11,0.004,0.020,-0.984
12,0.008,0.012,-0.992
13,0.004,0.008,-0.996
14,0.008,0.012,-0.992
15,0.027,0.012,-0.996
16,0.027,0.012,-0.984
17,0.027,0.023,-0.980
18,0.016,0.023,-0.996
19,0.023,0.023,-0.988
20,0.035,0.051,-0.973
21,0.039,0.016,-0.973
22,0.023,0.031,-0.977
23,0.008,0.020,-0.984
24,0.012,0.020,-0.984
25,0.020,0.023,-0.977
26,0.012,0.016,-0.984
27,0.008,0.004,-0.980
28,0.000,0.023,-0.980
29,0.004,0.012,-0.996
30,0.008,0.016,-0.996
31,0.016,0.012,-0.992
32,0.020,0.012,-0.996
33,0.023,0.012,-0.988
34,0.016,0.012,-0.988
35,0.023,0.012,-0.984
36,0.031,0.016,-0.988
37,0.031,0.004,-0.984
38,0.035,0.016,-0.980
39,0.016,0.020,-0.977
40,0.004,0.023,-0.965
41,0.008,0.020,-0.988
42,0.016,0.016,-0.977
43,0.008,0.012,-0.980
44,0.008,0.020,-0.992
45,-0.004,0.016,-0.992
46,0.008,0.012,-0.980
47,0.020,0.012,-0.992
48,0.023,0.012,-0.988
49,0.023,0.012,-0.988
50,0.020,0.020,-0.992
51,0.027,0.012,-0.992
52,0.023,0.012,-0.977
53,0.027,0.016,-0.980
54,0.035,0.020,-0.973
55,0.027,0.027,-0.977
56,0.016,0.020,-0.980
57,0.012,0.023,-0.973
58,0.020,0.027,-0.984
59,0.016,0.023,-0.984
60,0.012,0.020,-0.980
61,0.004,0.012,-0.988
62,0.004,0.020,-0.988
63,0.016,0.016,-0.984
64,0.020,0.020,-0.988
65,0.023,0.012,-0.988
66,0.020,0.020,-0.984
67,0.027,0.016,-0.984
68,0.027,0.012,-0.980
69,0.031,0.027,-0.984
70,0.031,0.020,-0.977
71,0.031,0.023,-0.984
72,0.020,0.020,-0.977
73,0.016,0.031,-0.977
74,0.012,0.023,-0.984
75,0.008,0.016,-0.980
76,0.008,0.027,-0.988
77,0.004,0.016,-0.984
78,0.008,0.016,-0.992
79,0.012,0.016,-0.988
80,0.008,0.031,-0.988
81,0.012,0.004,-0.992
82,0.023,0.012,-0.988
83,0.031,0.016,-0.992
84,0.031,0.020,-0.980
85,0.031,0.016,-0.973
86,0.023,0.023,-0.980
87,0.023,0.020,-0.977
88,0.020,0.016,-0.984
89,0.016,0.027,-0.977
90,0.012,0.023,-0.977
91,0.008,0.016,-0.984
92,-0.004,0.027,-0.992
93,-0.004,0.031,-0.996
94,0.039,0.008,-1.016
95,0.121,0.016,-1.004
96,0.094,0.188,-0.883
97,-0.004,0.297,-0.887
98,-0.055,0.250,-1.016
99,-0.066,0.293,-1.070
100,0.055,0.457,-1.184
101,0.449,0.977,-0.641
102,0.473,1.793,0.109
103,-0.086,1.055,-0.703
104,-0.750,-0.527,-1.805
105,-1.152,-1.070,-1.863
106,-0.781,0.965,-0.773
107,0.332,1.844,0.176
108,0.773,1.441,-0.238
109,0.391,-0.023,-1.246
110,-0.586,-1.461,-1.992
111,-0.652,-0.309,-1.375
112,0.277,1.223,-0.156
113,0.801,1.484,0.141
114,0.672,0.781,-0.621
115,0.117,-0.348,-1.801
116,0.910,-0.891,-1.816
117,1.910,1.113,0.336
118,1.863,1.793,1.145
119,0.426,0.402,-0.316
120,-1.824,-1.203,-1.973
121,-1.992,-0.945,-1.992
122,-0.840,0.621,-0.879
123,1.309,1.750,1.125
124,1.551,1.762,1.004
125,0.488,-0.492,-1.348
126,-1.703,-1.848,-1.684
127,-1.965,-0.512,-1.797
128,-0.250,1.766,0.684
129,1.273,1.234,0.055
130,0.668,0.969,-0.301
131,-0.449,-0.672,-1.449
132,-1.352,-1.551,-1.988
133,-1.188,0.680,-1.035
