Sample,X,Y,Z
0,0.055,0.016,-1.098
1,0.000,0.023,-0.988
2,0.004,0.027,-0.988
3,0.008,0.023,-0.984
4,0.008,0.027,-0.984
5,0.008,0.020,-1.000
6,0.020,0.020,-0.988
7,0.027,0.023,-0.988
8,0.031,0.016,-0.992
9,0.031,0.031,-0.988
10,0.027,0.027,-0.988
11,0.035,0.016,-0.992
12,0.035,0.031,-0.984
13,0.020,0.027,-0.988
14,0.016,0.020,-0.988
15,0.004,0.027,-0.984
16,0.008,0.020,-0.980
17,0.004,0.023,-0.984
18,0.000,0.020,-0.984
19,0.012,0.020,-0.980
20,0.023,-0.031,-0.992
21,0.008,0.020,-0.988
22,0.016,0.023,-0.988
23,0.020,0.023,-0.984
24,0.023,0.020,-0.984
25,0.020,0.020,-0.984
26,0.035,0.023,-0.988
27,0.039,0.027,-0.977
28,0.031,0.016,-0.980
29,0.027,0.020,-0.984
30,0.016,0.023,-0.988
31,0.012,0.016,-0.984
32,0.012,0.016,-0.980
33,0.008,0.023,-0.988
34,0.004,0.023,-0.988
35,0.000,0.020,-0.984
36,0.004,0.016,-0.992
37,0.012,0.016,-0.980
38,0.020,0.023,-0.984
39,0.023,0.020,-0.988
40,0.031,0.012,-1.008
41,0.039,0.023,-0.984
42,0.035,0.027,-0.984
43,0.031,0.020,-0.984
44,0.035,0.016,-0.980
45,0.027,0.023,-0.984
46,0.012,0.027,-0.988
47,0.012,0.020,-0.988
48,0.012,0.023,-0.980
49,0.000,0.020,-0.992
50,0.004,0.023,-0.992
51,-0.004,0.023,-0.992
52,0.008,0.020,-0.992
53,0.004,0.016,-0.988
54,0.020,0.020,-0.992
55,0.027,0.012,-0.984
56,0.023,0.023,-0.984
57,0.027,0.016,-0.980
58,0.023,0.023,-0.988
59,0.027,0.020,-0.980
60,0.039,-0.027,-0.996
61,0.023,0.020,-0.980
62,0.023,0.031,-0.984
63,0.016,0.023,-0.988
64,0.012,0.023,-0.980
65,0.008,0.023,-0.988
66,0.004,0.012,-0.984
67,0.004,0.016,-0.988
68,0.004,0.020,-0.984
69,0.008,0.027,-0.992
70,0.008,0.008,-0.988
71,0.016,0.023,-0.992
72,0.016,0.020,-0.980
73,0.023,0.023,-0.984
74,0.023,0.020,-0.988
75,0.031,0.016,-0.984
76,0.039,0.016,-0.980
77,0.031,0.020,-0.977
78,0.020,0.016,-0.984
79,0.016,0.023,-0.992
80,0.023,-0.020,-0.992
81,0.012,0.023,-0.984
82,0.004,0.020,-0.984
83,-0.004,0.027,-0.988
84,0.000,0.016,-0.992
85,0.012,0.023,-0.992
86,0.012,0.020,-0.984
87,0.020,0.016,-0.984
88,0.031,0.023,-0.988
89,0.020,0.020,-0.984
90,0.023,0.020,-0.984
91,0.035,0.027,-0.980
92,0.031,0.020,-0.984
93,0.027,0.023,-0.988
94,0.016,0.027,-0.988
95,0.008,0.031,-0.996
96,0.047,0.016,-0.996
97,0.094,0.012,-0.984
98,0.066,0.031,-0.977
99,-0.020,0.090,-0.977
100,-0.055,0.059,-1.016
101,-0.004,0.086,-1.012
102,0.035,0.125,-0.973
103,0.043,0.195,-0.941
104,0.035,0.266,-0.949
105,0.043,0.289,-0.961
106,0.066,0.293,-0.973
107,0.078,0.352,-0.969
108,0.055,0.527,-0.984
109,0.156,0.609,-1.098
110,0.059,1.621,-0.227
111,0.391,1.254,-0.516
112,0.277,-0.215,-1.312
113,-0.551,-1.711,-1.992
114,-1.059,-0.457,-1.547
115,-0.355,1.453,-0.035
116,0.539,1.723,0.160
117,0.957,0.406,-0.719
118,0.031,-1.738,-1.840
119,-1.668,-0.961,-1.832
120,-1.988,1.906,0.270
121,-0.551,1.992,0.746
122,1.699,1.035,-0.672
123,1.973,-1.520,-1.402
124,0.055,-1.316,-1.262
125,-0.465,0.301,-0.559
126,1.738,1.992,1.109
127,1.980,1.988,0.586
