Sample,X,Y,Z
204,-0.270,-0.152,-0.926
205,-0.352,0.078,-0.707
206,-0.312,0.031,-0.766
207,-0.082,0.082,-0.727
208,-0.066,0.043,-0.789
209,-0.117,-0.180,-1.051
210,0.078,-0.246,-1.094
211,0.109,0.012,-0.883
212,0.270,0.043,-0.984
213,0.250,-0.047,-1.148
214,-0.109,0.027,-1.191
215,-0.180,-0.004,-1.289
216,-0.090,-0.066,-1.242
217,-0.164,0.148,-1.023
218,0.059,0.141,-1.047
219,0.078,0.086,-0.988
220,-0.051,0.051,-1.055
221,-0.086,-0.008,-1.059
222,-0.059,0.078,-0.852
223,-0.039,0.199,-0.801
224,0.105,0.152,-0.797
225,0.219,-0.016,-0.836
226,0.312,-0.090,-0.953
227,0.441,-0.078,-0.879
228,0.539,-0.047,-0.801
229,0.328,-0.004,-0.859
230,-0.066,0.090,-0.863
231,-0.230,-0.027,-1.070
232,-0.207,-0.129,-1.227
233,-0.234,0.078,-0.992
234,-0.094,0.098,-0.988
235,-0.172,0.039,-1.059
236,-0.293,0.062,-1.066
237,-0.242,0.102,-1.082
238,-0.199,0.004,-1.098
239,-0.121,0.016,-1.059
240,-0.070,0.016,-1.035
241,0.117,-0.066,-1.004
242,0.250,-0.043,-0.918
243,0.309,-0.148,-1.020
244,0.262,-0.043,-0.898
245,0.316,0.031,-0.871
246,0.168,0.066,-0.859
247,0.129,0.047,-0.828
248,0.188,-0.051,-0.953
249,0.035,0.008,-0.898
250,0.031,0.055,-0.941
251,0.156,-0.043,-1.051
252,0.125,0.039,-0.957
253,0.059,0.098,-0.973
254,0.121,-0.074,-1.070
255,-0.121,0.043,-0.988
256,-0.211,0.062,-1.098
257,-0.211,-0.047,-1.141
258,-0.293,0.145,-0.980
259,-0.242,0.035,-1.109
260,-0.105,0.004,-1.012
261,-0.246,0.070,-1.008
262,-0.191,0.074,-1.035
263,-0.094,0.094,-0.871
264,-0.074,0.117,-0.969
265,0.141,-0.043,-0.996
266,0.328,-0.055,-0.832
267,0.270,-0.039,-0.965
268,0.348,-0.012,-0.898
269,0.281,0.031,-0.883
270,0.223,-0.012,-0.996
271,0.211,-0.062,-0.930
272,0.020,0.059,-0.898
273,-0.094,0.086,-0.934
274,-0.102,0.062,-0.922
275,-0.094,0.086,-1.016
