Sample,X,Y,Z
0,0.016,0.031,-1.125
1,-0.008,0.016,-1.043
2,-0.004,0.012,-1.051
3,0.027,-0.008,-1.047
4,0.059,0.000,-1.035
5,0.035,0.035,-1.008
6,0.012,0.055,-1.000
7,-0.016,0.062,-1.000
8,-0.023,0.066,-0.988
9,-0.004,0.078,-0.961
10,-0.012,0.094,-0.945
11,-0.016,0.055,-0.957
12,0.000,0.012,-0.965
13,0.000,0.023,-0.926
14,-0.012,0.020,-0.926
15,0.012,-0.020,-0.930
16,0.023,-0.039,-0.953
17,0.016,-0.027,-0.941
18,0.016,0.016,-0.918
19,0.035,0.039,-0.934
20,0.043,0.059,-0.977
21,0.078,0.039,-0.977
22,0.055,0.035,-1.008
23,0.035,0.059,-1.016
24,0.039,0.047,-1.012
25,0.035,0.027,-1.023
26,0.043,0.008,-1.020
27,0.035,0.020,-1.000
28,0.008,0.031,-0.992
29,-0.020,0.039,-0.992
30,-0.027,0.039,-0.984
31,-0.035,0.035,-0.992
32,-0.039,0.059,-0.977
33,-0.043,0.066,-0.957
34,-0.047,0.074,-0.957
35,-0.043,0.059,-0.969
36,-0.020,0.016,-0.996
37,0.004,-0.008,-0.984
38,0.035,0.016,-0.949
39,0.066,0.020,-0.934
40,0.078,-0.012,-0.945
41,0.078,-0.020,-0.957
42,0.078,0.000,-0.957
43,0.082,0.039,-0.941
44,0.066,0.070,-0.945
45,0.051,0.055,-0.977
46,0.023,0.047,-1.000
47,0.012,0.062,-1.000
48,-0.008,0.039,-1.012
49,-0.012,0.016,-1.016
50,-0.012,0.004,-1.016
51,-0.020,0.020,-0.992
52,-0.027,0.023,-0.984
53,-0.035,0.008,-0.988
54,-0.047,0.016,-0.973
55,-0.043,0.031,-0.965
56,-0.027,0.039,-0.965
57,0.004,0.047,-0.953
58,0.023,0.055,-0.953
59,0.051,0.043,-0.961
60,0.031,0.016,-0.977
61,0.035,0.023,-0.977
62,0.047,0.016,-0.973
63,0.062,0.016,-0.969
64,0.066,0.016,-0.969
65,0.031,0.020,-0.969
66,0.023,0.031,-0.961
67,0.016,0.023,-0.977
68,0.008,0.035,-0.977
69,0.000,0.035,-0.992
70,-0.008,0.039,-0.992
71,-0.008,0.043,-1.004
72,-0.020,0.027,-1.008
73,-0.016,0.016,-1.004
74,-0.004,-0.004,-0.996
75,0.020,0.012,-0.977
76,0.039,0.008,-0.945
77,0.039,0.020,-0.938
78,0.027,0.031,-0.941
79,0.008,0.043,-0.941
80,0.012,0.020,-0.965
81,0.004,0.051,-0.957
82,0.000,0.055,-0.973
83,-0.008,0.051,-0.988
84,-0.008,0.027,-1.004
85,-0.016,0.023,-1.016
86,-0.004,0.000,-1.020
87,0.008,-0.004,-1.012
88,0.016,0.012,-0.996
89,0.027,0.016,-0.984
90,0.031,0.043,-0.969
91,0.020,0.039,-0.969
92,0.012,0.043,-0.965
93,0.023,0.047,-0.969
94,0.035,0.047,-0.965
95,0.031,0.043,-0.957
96,0.031,0.016,-0.969
97,0.012,0.008,-0.969
98,0.000,0.008,-0.969
99,-0.023,-0.004,-0.961
100,-0.023,-0.012,-0.953
101,-0.012,0.012,-0.941
102,-0.016,0.031,-0.941
103,-0.023,0.051,-0.961
104,-0.016,0.051,-0.977
105,0.000,0.039,-0.996
106,0.016,0.059,-1.004
107,0.012,0.066,-1.008
108,0.023,0.059,-1.020
109,0.020,0.031,-1.043
110,0.008,0.023,-1.035
111,0.000,0.020,-1.016
112,0.008,0.008,-1.004
113,0.027,0.008,-0.977
114,0.004,0.004,-0.957
115,0.008,0.023,-0.938
116,0.012,0.035,-0.930
117,0.012,0.043,-0.926
118,0.016,0.043,-0.922
119,0.012,0.039,-0.934
120,0.012,0.051,-0.949
121,0.012,0.031,-0.957
122,0.004,0.008,-0.973
123,0.023,0.020,-0.980
124,0.031,0.020,-0.973
125,0.012,0.012,-0.973
126,0.004,0.020,-0.980
127,-0.012,0.039,-0.992
128,-0.020,0.055,-0.992
129,-0.020,0.051,-1.000
130,-0.012,0.055,-1.012
131,-0.008,0.062,-1.016
132,-0.008,0.066,-1.020
133,-0.008,0.035,-1.031
134,0.012,0.016,-1.023
135,0.012,0.000,-1.016
136,0.031,0.012,-0.977
137,0.051,0.000,-0.961
138,0.047,-0.004,-0.945
139,0.023,0.004,-0.926
140,0.047,0.023,-0.910
141,0.023,0.043,-0.902
142,0.023,0.055,-0.898
143,0.023,0.055,-0.910
144,0.023,0.059,-0.934
145,0.004,0.047,-0.965
146,-0.004,0.031,-0.992
147,0.004,0.027,-0.996
148,0.004,0.020,-1.008
149,0.004,0.016,-1.008
150,-0.004,0.004,-1.008
151,-0.008,0.008,-1.020
152,-0.012,0.031,-1.016
153,-0.012,0.043,-1.012
154,0.004,0.043,-1.004
155,0.023,0.043,-1.004
156,0.035,0.051,-0.996
157,0.043,0.055,-0.996
158,0.035,0.031,-0.992
159,0.027,0.008,-0.992
160,0.020,0.000,-0.977
161,0.027,0.020,-0.926
162,0.020,0.012,-0.922
163,0.020,0.004,-0.918
164,0.008,0.012,-0.914
165,0.000,0.031,-0.902
166,0.000,0.051,-0.926
167,0.008,0.051,-0.945
168,0.012,0.047,-0.965
169,0.027,0.051,-0.988
170,0.020,0.035,-1.012
171,0.023,0.016,-1.035
172,0.016,0.016,-1.031
173,0.027,0.020,-1.023
174,0.020,0.008,-1.016
175,0.020,0.012,-1.008
176,0.000,0.012,-0.996
177,-0.016,0.035,-0.980
