Sample,X,Y,Z
0,-0.004,0.004,-1.066
1,0.008,0.012,-0.992
2,0.012,0.023,-0.984
3,0.012,0.008,-0.992
4,0.012,0.023,-0.984
5,0.012,0.016,-0.984
6,0.016,0.027,-0.984
7,0.023,0.023,-0.988
8,0.023,0.020,-0.984
9,0.020,0.020,-0.980
10,0.023,0.031,-0.988
11,0.027,0.016,-0.992
12,0.027,0.020,-0.984
13,0.023,0.020,-0.984
14,0.016,0.012,-0.988
15,0.016,0.020,-0.988
16,0.016,0.020,-0.992
17,0.023,0.020,-0.988
18,0.008,0.020,-0.988
19,0.008,0.020,-0.992
20,0.012,-0.008,-0.984
21,0.020,0.020,-0.988
22,0.020,0.027,-0.984
23,0.020,0.020,-0.984
24,0.020,0.016,-0.988
25,0.020,0.012,-0.984
26,0.023,0.020,-0.984
27,0.027,0.023,-0.992
28,0.016,0.023,-0.984
29,0.023,0.023,-0.988
30,0.027,0.023,-0.988
31,0.023,0.020,-0.977
32,0.020,0.012,-0.992
33,0.008,0.016,-0.984
34,0.008,0.016,-0.984
35,0.012,0.012,-0.992
36,0.016,0.023,-0.984
37,0.004,0.023,-0.984
38,0.016,0.027,-0.996
39,0.020,0.027,-0.992
40,0.039,0.035,-0.992
41,0.031,0.020,-0.988
42,0.023,0.020,-0.984
43,0.016,0.016,-0.984
44,0.023,0.016,-0.984
45,0.016,0.020,-0.988
46,0.020,0.004,-0.992
47,0.016,0.020,-0.988
48,0.016,0.023,-0.988
49,0.012,0.020,-0.973
50,0.004,0.020,-0.980
51,0.012,0.016,-0.984
52,0.012,0.016,-0.988
53,0.020,0.023,-0.984
54,0.020,0.020,-0.988
55,0.016,0.016,-0.992
56,0.016,0.023,-0.992
57,0.016,0.020,-0.988
58,0.023,0.020,-0.980
59,0.027,0.020,-0.984
60,0.012,-0.059,-0.988
61,0.027,0.020,-0.984
62,0.020,0.016,-0.988
63,0.020,0.016,-0.980
64,0.012,0.016,-0.984
65,0.020,0.016,-0.988
66,0.004,0.020,-0.988
67,0.008,0.016,-0.988
68,0.012,0.012,-0.988
69,0.016,0.016,-0.988
70,0.016,0.020,-0.984
71,0.016,0.020,-0.980
72,0.016,0.020,-0.984
73,0.020,0.023,-0.984
74,0.023,0.016,-0.980
75,0.031,0.020,-0.984
76,0.027,0.016,-0.988
77,0.020,0.020,-0.984
78,0.020,0.016,-0.980
79,0.020,0.016,-0.988
80,0.012,-0.027,-0.992
81,0.016,0.008,-0.984
82,0.016,0.008,-0.988
83,0.004,0.012,-0.988
84,0.012,0.016,-0.984
85,0.012,0.016,-0.984
86,0.020,0.016,-0.992
87,0.023,0.012,-0.988
88,0.023,0.016,-0.992
89,0.020,0.020,-0.984
90,0.023,0.020,-0.988
91,0.023,0.016,-0.984
92,0.031,0.023,-0.973
93,0.020,0.016,-0.988
94,0.008,0.027,-0.980
95,0.027,0.027,-0.992
96,0.117,-0.027,-0.996
97,0.105,-0.027,-0.949
98,-0.086,0.035,-0.941
99,-0.227,0.039,-1.012
100,-0.242,0.055,-1.012
101,-0.137,0.016,-0.965
102,-0.109,0.004,-0.910
103,-0.254,-0.012,-0.961
104,-0.449,-0.016,-1.043
105,-0.426,-0.012,-1.070
106,-0.234,0.008,-1.004
107,0.086,-0.094,-0.938
108,0.184,-0.453,-0.949
109,-1.285,0.000,-0.770
110,-1.992,0.242,-1.246
111,-1.527,0.098,-1.590
112,0.809,0.324,-0.961
113,1.992,0.488,-0.016
114,1.180,0.176,-0.410
115,-0.398,-0.539,-1.453
116,0.426,-0.473,-1.363
117,1.180,-0.062,-0.648
118,0.598,-0.223,-0.812
119,-1.355,0.406,-0.797
120,-1.992,1.922,0.074
121,-1.992,1.113,-1.301
122,-1.012,-0.566,-1.961
123,1.621,-0.871,-0.539
124,1.434,-1.676,-1.207
125,-1.203,-0.090,-0.941
126,-1.992,0.699,-1.047
127,-1.953,-0.598,-1.688
128,0.762,0.410,-0.141
129,1.793,0.250,0.266
130,0.879,0.059,-0.129
131,-1.594,-0.902,-0.996
132,-1.332,-0.828,-1.633
133,1.820,0.586,-0.215
134,1.992,0.195,0.387
135,1.543,0.258,0.168
136,-1.645,0.012,-1.508
137,-1.992,-0.035,-1.828
138,-1.168,0.934,-0.723
139,1.574,0.199,-0.797
140,1.992,0.344,0.102
141,0.871,-0.180,-0.715
142,-1.992,-0.352,-1.902
143,-1.992,0.629,-1.547
144,-1.203,-0.168,-1.828
145,0.629,-0.512,-0.809
146,0.711,0.488,0.477
147,-1.281,0.070,-1.215
148,-1.930,0.699,-0.859
149,-1.461,-0.434,-1.500
150,-0.621,-0.684,-1.578
151,0.359,0.023,-0.348
152,0.785,0.336,0.242
153,0.059,0.699,-0.121
154,-0.293,-0.309,-1.258
155,0.266,-1.070,-1.621
156,0.574,-0.293,-1.074
157,0.266,0.445,-0.418
158,0.359,0.594,-0.191
159,0.355,-0.012,-1.078
160,-0.078,-0.559,-1.637
161,0.082,-0.504,-1.527
162,-0.352,0.465,-0.996
163,-0.418,0.348,-0.961
164,-0.332,0.023,-1.039
165,-0.770,0.055,-1.258
166,-0.801,-0.004,-1.367
167,-0.523,-0.180,-1.312
168,-0.707,0.004,-1.117
169,-0.824,0.418,-0.629
170,-0.414,0.191,-0.832
171,-0.527,0.047,-1.031
172,-0.500,0.047,-0.902
173,-0.184,-0.047,-0.797
174,-0.066,-0.215,-0.801
175,-0.270,0.047,-0.598
176,-0.172,0.148,-0.754
177,0.008,-0.234,-1.078
178,0.020,-0.316,-1.023
179,-0.070,-0.051,-0.848
180,-0.301,0.199,-0.824
181,-0.285,0.070,-1.059
182,-0.312,0.207,-0.988
183,-0.195,-0.008,-1.191
